mode,trial,total_time
single,1,6.475990308914334
single,2,5.8186983349733055
single,3,6.245899711968377
single,4,5.9782240458298475
single,5,5.869796983199194
single,6,5.664909070823342
single,7,5.7608962850645185
single,8,6.797366481041536
single,9,5.8806148851290345
single,10,5.715279100928456
swarm,1,6.058568411972374
swarm,2,21.326737179188058
swarm,3,6.224217470968142
swarm,4,6.446892749983817
swarm,5,6.921466984087601
swarm,6,6.498573818942532
swarm,7,28.206768897129223
swarm,8,6.042400369886309
swarm,9,5.913220733869821
swarm,10,6.244620315963402
thread,1,4.06878126389347
thread,2,3.5789815108291805
thread,3,3.6441358299925923
thread,4,3.8679414179641753
thread,5,4.110303247813135
thread,6,3.723075630143285
thread,7,3.754242504015565
thread,8,3.8010655669495463
thread,9,3.798481381032616
thread,10,3.5069103902205825
process,1,6.952504522865638
process,2,6.701012156205252
process,3,7.073739629006013
process,4,7.1049669198691845
process,5,7.211113115074113
process,6,7.202157192863524
process,7,7.37497945711948
process,8,7.194897755049169
process,9,6.962287936825305
process,10,7.011022040154785
