trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
484216490.1874742,484216490.1874742,484216490.1874742,484216490.1874742,484216490.1874742,484216490.1874742,484216490.1874742,484216490.1874742,484216490.1874742,484216490.1874742
105125258.61504199,105125258.61504199,105125258.61504199,105125258.61504199,105125258.61504199,105125258.61504199,105125258.61504199,105125258.61504199,105125258.61504199,105125258.61504199
105125258.61504199,105125258.61504199,105125258.61504199,105125258.61504199,105125258.61504199,105125258.61504199,105125258.61504199,105125258.61504199,105125258.61504199,105125258.61504199
105125258.61504199,105125258.61504199,105125258.61504199,105125258.61504199,105125258.61504199,105125258.61504199,105125258.61504199,105125258.61504199,105125258.61504199,105125258.61504199
75966562.51219933,75966562.51219933,75966562.51219933,75966562.51219933,75966562.51219933,75966562.51219933,75966562.51219933,75966562.51219933,75966562.51219933,75966562.51219933
2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525
2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525
2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525
2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525,2754728.6199807525
1250059.1705839832,1250059.1705839832,1250059.1705839832,1250059.1705839832,1250059.1705839832,1250059.1705839832,1250059.1705839832,1250059.1705839832,1250059.1705839832,1250059.1705839832
1178781.3978578188,1178781.3978578188,1178781.3978578188,1178781.3978578188,1178781.3978578188,1178781.3978578188,1178781.3978578188,1178781.3978578188,1178781.3978578188,1178781.3978578188
987991.4560726646,987991.4560726646,987991.4560726646,987991.4560726646,987991.4560726646,987991.4560726646,987991.4560726646,987991.4560726646,987991.4560726646,987991.4560726646
987991.4560726646,987991.4560726646,987991.4560726646,987991.4560726646,987991.4560726646,987991.4560726646,987991.4560726646,987991.4560726646,987991.4560726646,987991.4560726646
917049.9342618968,917049.9342618968,917049.9342618968,917049.9342618968,917049.9342618968,917049.9342618968,917049.9342618968,917049.9342618968,917049.9342618968,917049.9342618968
532895.8541211974,532895.8541211974,532895.8541211974,532895.8541211974,532895.8541211974,532895.8541211974,532895.8541211974,532895.8541211974,532895.8541211974,532895.8541211974
532895.8541211974,532895.8541211974,532895.8541211974,532895.8541211974,532895.8541211974,532895.8541211974,532895.8541211974,532895.8541211974,532895.8541211974,532895.8541211974
530072.7171400012,530072.7171400012,530072.7171400012,530072.7171400012,530072.7171400012,530072.7171400012,530072.7171400012,530072.7171400012,530072.7171400012,530072.7171400012
505513.14374213107,505513.14374213107,505513.14374213107,505513.14374213107,505513.14374213107,505513.14374213107,505513.14374213107,505513.14374213107,505513.14374213107,505513.14374213107
505513.14374213107,505513.14374213107,505513.14374213107,505513.14374213107,505513.14374213107,505513.14374213107,505513.14374213107,505513.14374213107,505513.14374213107,505513.14374213107
504769.2080854202,504769.2080854202,504769.2080854202,504769.2080854202,504769.2080854202,504769.2080854202,504769.2080854202,504769.2080854202,504769.2080854202,504769.2080854202
499721.58743936854,499721.58743936854,499721.58743936854,499721.58743936854,499721.58743936854,499721.58743936854,499721.58743936854,499721.58743936854,499721.58743936854,499721.58743936854
499686.4999540362,499686.4999540362,499686.4999540362,499686.4999540362,499686.4999540362,499686.4999540362,499686.4999540362,499686.4999540362,499686.4999540362,499686.4999540362
499686.4999540362,499686.4999540362,499686.4999540362,499686.4999540362,499686.4999540362,499686.4999540362,499686.4999540362,499686.4999540362,499686.4999540362,499686.4999540362
407979.23912437283,407979.23912437283,407979.23912437283,407979.23912437283,407979.23912437283,407979.23912437283,407979.23912437283,407979.23912437283,407979.23912437283,407979.23912437283
315409.70002111036,315409.70002111036,315409.70002111036,315409.70002111036,315409.70002111036,315409.70002111036,315409.70002111036,315409.70002111036,315409.70002111036,315409.70002111036
315409.70002111036,315409.70002111036,315409.70002111036,315409.70002111036,315409.70002111036,315409.70002111036,315409.70002111036,315409.70002111036,315409.70002111036,315409.70002111036
312922.8425940524,312922.8425940524,312922.8425940524,312922.8425940524,312922.8425940524,312922.8425940524,312922.8425940524,312922.8425940524,312922.8425940524,312922.8425940524
312009.75487243524,312009.75487243524,312009.75487243524,312009.75487243524,312009.75487243524,312009.75487243524,312009.75487243524,312009.75487243524,312009.75487243524,312009.75487243524
312009.75487243524,312009.75487243524,312009.75487243524,312009.75487243524,312009.75487243524,312009.75487243524,312009.75487243524,312009.75487243524,312009.75487243524,312009.75487243524
312009.75487243524,312009.75487243524,312009.75487243524,312009.75487243524,312009.75487243524,312009.75487243524,312009.75487243524,312009.75487243524,312009.75487243524,312009.75487243524
309522.89744537725,309522.89744537725,309522.89744537725,309522.89744537725,309522.89744537725,309522.89744537725,309522.89744537725,309522.89744537725,309522.89744537725,309522.89744537725
309522.89744537725,309522.89744537725,309522.89744537725,309522.89744537725,309522.89744537725,309522.89744537725,309522.89744537725,309522.89744537725,309522.89744537725,309522.89744537725
308785.97873973945,308785.97873973945,308785.97873973945,308785.97873973945,308785.97873973945,308785.97873973945,308785.97873973945,308785.97873973945,308785.97873973945,308785.97873973945
308219.0965142846,308219.0965142846,308219.0965142846,308219.0965142846,308219.0965142846,308219.0965142846,308219.0965142846,308219.0965142846,308219.0965142846,308219.0965142846
307776.1362645409,307776.1362645409,307776.1362645409,307776.1362645409,307776.1362645409,307776.1362645409,307776.1362645409,307776.1362645409,307776.1362645409,307776.1362645409
