trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
4324391905949314.5,4324391905949314.5,4324391905949314.5,4324391905949314.5,4324391905949314.5,4324391905949314.5,4324391905949314.5,4324391905949314.5,4324391905949314.5,4324391905949314.5
108600252935650.62,108600252935650.62,108600252935650.62,108600252935650.62,108600252935650.62,108600252935650.62,108600252935650.62,108600252935650.62,108600252935650.62,108600252935650.62
80531353988000.38,80531353988000.38,80531353988000.38,80531353988000.38,80531353988000.38,80531353988000.38,80531353988000.38,80531353988000.38,80531353988000.38,80531353988000.38
5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598
5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598
5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598
5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598
5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598
5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598,5340585951757.598
954176310592.5485,954176310592.5485,954176310592.5485,954176310592.5485,954176310592.5485,954176310592.5485,954176310592.5485,954176310592.5485,954176310592.5485,954176310592.5485
954176310592.5485,954176310592.5485,954176310592.5485,954176310592.5485,954176310592.5485,954176310592.5485,954176310592.5485,954176310592.5485,954176310592.5485,954176310592.5485
954176310592.5485,954176310592.5485,954176310592.5485,954176310592.5485,954176310592.5485,954176310592.5485,954176310592.5485,954176310592.5485,954176310592.5485,954176310592.5485
659019833588.3568,659019833588.3568,659019833588.3568,659019833588.3568,659019833588.3568,659019833588.3568,659019833588.3568,659019833588.3568,659019833588.3568,659019833588.3568
659019833588.3568,659019833588.3568,659019833588.3568,659019833588.3568,659019833588.3568,659019833588.3568,659019833588.3568,659019833588.3568,659019833588.3568,659019833588.3568
659019833588.3568,659019833588.3568,659019833588.3568,659019833588.3568,659019833588.3568,659019833588.3568,659019833588.3568,659019833588.3568,659019833588.3568,659019833588.3568
162652969975.15625,162652969975.15625,162652969975.15625,162652969975.15625,162652969975.15625,162652969975.15625,162652969975.15625,162652969975.15625,162652969975.15625,162652969975.15625
56002432111.35583,56002432111.35583,56002432111.35583,56002432111.35583,56002432111.35583,56002432111.35583,56002432111.35583,56002432111.35583,56002432111.35583,56002432111.35583
46926125735.32948,46926125735.32948,46926125735.32948,46926125735.32948,46926125735.32948,46926125735.32948,46926125735.32948,46926125735.32948,46926125735.32948,46926125735.32948
46926125735.32948,46926125735.32948,46926125735.32948,46926125735.32948,46926125735.32948,46926125735.32948,46926125735.32948,46926125735.32948,46926125735.32948,46926125735.32948
15978028684.34793,15978028684.34793,15978028684.34793,15978028684.34793,15978028684.34793,15978028684.34793,15978028684.34793,15978028684.34793,15978028684.34793,15978028684.34793
15978028684.34793,15978028684.34793,15978028684.34793,15978028684.34793,15978028684.34793,15978028684.34793,15978028684.34793,15978028684.34793,15978028684.34793,15978028684.34793
1485946409.3135662,1485946409.3135662,1485946409.3135662,1485946409.3135662,1485946409.3135662,1485946409.3135662,1485946409.3135662,1485946409.3135662,1485946409.3135662,1485946409.3135662
1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874
1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874
1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874
1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874,1485893078.8228874
