trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
7093315.8581435485,7093315.8581435485,7093315.8581435485,7093315.8581435485,7093315.8581435485,7093315.8581435485,7093315.8581435485,7093315.8581435485,7093315.8581435485,7093315.8581435485
6951019.095377616,6951019.095377616,6951019.095377616,6951019.095377616,6951019.095377616,6951019.095377616,6951019.095377616,6951019.095377616,6951019.095377616,6951019.095377616
6908411.01334302,6908411.01334302,6908411.01334302,6908411.01334302,6908411.01334302,6908411.01334302,6908411.01334302,6908411.01334302,6908411.01334302,6908411.01334302
6878263.312556557,6878263.312556557,6878263.312556557,6878263.312556557,6878263.312556557,6878263.312556557,6878263.312556557,6878263.312556557,6878263.312556557,6878263.312556557
6876133.939136442,6876133.939136442,6876133.939136442,6876133.939136442,6876133.939136442,6876133.939136442,6876133.939136442,6876133.939136442,6876133.939136442,6876133.939136442
6673528.254585549,6673528.254585549,6673528.254585549,6673528.254585549,6673528.254585549,6673528.254585549,6673528.254585549,6673528.254585549,6673528.254585549,6673528.254585549
6663903.329056938,6663903.329056938,6663903.329056938,6663903.329056938,6663903.329056938,6663903.329056938,6663903.329056938,6663903.329056938,6663903.329056938,6663903.329056938
6564729.089417272,6564729.089417272,6564729.089417272,6564729.089417272,6564729.089417272,6564729.089417272,6564729.089417272,6564729.089417272,6564729.089417272,6564729.089417272
6185042.781915811,6185042.781915811,6185042.781915811,6185042.781915811,6185042.781915811,6185042.781915811,6185042.781915811,6185042.781915811,6185042.781915811,6185042.781915811
5872172.006966927,5872172.006966927,5872172.006966927,5872172.006966927,5872172.006966927,5872172.006966927,5872172.006966927,5872172.006966927,5872172.006966927,5872172.006966927
5870616.0503086755,5870616.0503086755,5870616.0503086755,5870616.0503086755,5870616.0503086755,5870616.0503086755,5870616.0503086755,5870616.0503086755,5870616.0503086755,5870616.0503086755
