trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
121982460774.43985,121982460774.43985,121982460774.43985,121982460774.43985,121982460774.43985,121982460774.43985,121982460774.43985,121982460774.43985,121982460774.43985,121982460774.43985
111278677774.83492,111278677774.83492,111278677774.83492,111278677774.83492,111278677774.83492,111278677774.83492,111278677774.83492,111278677774.83492,111278677774.83492,111278677774.83492
99357140492.45462,99357140492.45462,99357140492.45462,99357140492.45462,99357140492.45462,99357140492.45462,99357140492.45462,99357140492.45462,99357140492.45462,99357140492.45462
89016435428.45786,89016435428.45786,89016435428.45786,89016435428.45786,89016435428.45786,89016435428.45786,89016435428.45786,89016435428.45786,89016435428.45786,89016435428.45786
74483629407.01575,74483629407.01575,74483629407.01575,74483629407.01575,74483629407.01575,74483629407.01575,74483629407.01575,74483629407.01575,74483629407.01575,74483629407.01575
65882280724.17019,65882280724.17019,65882280724.17019,65882280724.17019,65882280724.17019,65882280724.17019,65882280724.17019,65882280724.17019,65882280724.17019,65882280724.17019
59351097459.05323,59351097459.05323,59351097459.05323,59351097459.05323,59351097459.05323,59351097459.05323,59351097459.05323,59351097459.05323,59351097459.05323,59351097459.05323
53104543432.41253,53104543432.41253,53104543432.41253,53104543432.41253,53104543432.41253,53104543432.41253,53104543432.41253,53104543432.41253,53104543432.41253,53104543432.41253
37896948389.4497,37896948389.4497,37896948389.4497,37896948389.4497,37896948389.4497,37896948389.4497,37896948389.4497,37896948389.4497,37896948389.4497,37896948389.4497
34294098303.474236,34294098303.474236,34294098303.474236,34294098303.474236,34294098303.474236,34294098303.474236,34294098303.474236,34294098303.474236,34294098303.474236,34294098303.474236
31998985944.615284,31998985944.615284,31998985944.615284,31998985944.615284,31998985944.615284,31998985944.615284,31998985944.615284,31998985944.615284,31998985944.615284,31998985944.615284
30569845799.679226,30569845799.679226,30569845799.679226,30569845799.679226,30569845799.679226,30569845799.679226,30569845799.679226,30569845799.679226,30569845799.679226,30569845799.679226
25051815037.70811,25051815037.70811,25051815037.70811,25051815037.70811,25051815037.70811,25051815037.70811,25051815037.70811,25051815037.70811,25051815037.70811,25051815037.70811
21330342702.855568,21330342702.855568,21330342702.855568,21330342702.855568,21330342702.855568,21330342702.855568,21330342702.855568,21330342702.855568,21330342702.855568,21330342702.855568
19661556199.255516,19661556199.255516,19661556199.255516,19661556199.255516,19661556199.255516,19661556199.255516,19661556199.255516,19661556199.255516,19661556199.255516,19661556199.255516
18188132809.497204,18188132809.497204,18188132809.497204,18188132809.497204,18188132809.497204,18188132809.497204,18188132809.497204,18188132809.497204,18188132809.497204,18188132809.497204
15841510003.843185,15841510003.843185,15841510003.843185,15841510003.843185,15841510003.843185,15841510003.843185,15841510003.843185,15841510003.843185,15841510003.843185,15841510003.843185
13952882148.501776,13952882148.501776,13952882148.501776,13952882148.501776,13952882148.501776,13952882148.501776,13952882148.501776,13952882148.501776,13952882148.501776,13952882148.501776
13445422725.898567,13445422725.898567,13445422725.898567,13445422725.898567,13445422725.898567,13445422725.898567,13445422725.898567,13445422725.898567,13445422725.898567,13445422725.898567
10923604265.921217,10923604265.921217,10923604265.921217,10923604265.921217,10923604265.921217,10923604265.921217,10923604265.921217,10923604265.921217,10923604265.921217,10923604265.921217
9415726413.587189,9415726413.587189,9415726413.587189,9415726413.587189,9415726413.587189,9415726413.587189,9415726413.587189,9415726413.587189,9415726413.587189,9415726413.587189
8854022566.756989,8854022566.756989,8854022566.756989,8854022566.756989,8854022566.756989,8854022566.756989,8854022566.756989,8854022566.756989,8854022566.756989,8854022566.756989
6714629256.645091,6714629256.645091,6714629256.645091,6714629256.645091,6714629256.645091,6714629256.645091,6714629256.645091,6714629256.645091,6714629256.645091,6714629256.645091
6366440367.759041,6366440367.759041,6366440367.759041,6366440367.759041,6366440367.759041,6366440367.759041,6366440367.759041,6366440367.759041,6366440367.759041,6366440367.759041
6045173894.773951,6045173894.773951,6045173894.773951,6045173894.773951,6045173894.773951,6045173894.773951,6045173894.773951,6045173894.773951,6045173894.773951,6045173894.773951
5703669068.375255,5703669068.375255,5703669068.375255,5703669068.375255,5703669068.375255,5703669068.375255,5703669068.375255,5703669068.375255,5703669068.375255,5703669068.375255
5409110162.359078,5409110162.359078,5409110162.359078,5409110162.359078,5409110162.359078,5409110162.359078,5409110162.359078,5409110162.359078,5409110162.359078,5409110162.359078
4649652701.978534,4649652701.978534,4649652701.978534,4649652701.978534,4649652701.978534,4649652701.978534,4649652701.978534,4649652701.978534,4649652701.978534,4649652701.978534
