trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
369126245517892.75,369126245517892.75,369126245517892.75,369126245517892.75,369126245517892.75,369126245517892.75,369126245517892.75,369126245517892.75,369126245517892.75,369126245517892.75
163356193401403.5,163356193401403.5,163356193401403.5,163356193401403.5,163356193401403.5,163356193401403.5,163356193401403.5,163356193401403.5,163356193401403.5,163356193401403.5
12400372267842.531,12400372267842.531,12400372267842.531,12400372267842.531,12400372267842.531,12400372267842.531,12400372267842.531,12400372267842.531,12400372267842.531,12400372267842.531
1758196322254.6545,1758196322254.6545,1758196322254.6545,1758196322254.6545,1758196322254.6545,1758196322254.6545,1758196322254.6545,1758196322254.6545,1758196322254.6545,1758196322254.6545
437126467716.9867,437126467716.9867,437126467716.9867,437126467716.9867,437126467716.9867,437126467716.9867,437126467716.9867,437126467716.9867,437126467716.9867,437126467716.9867
379284697202.3517,379284697202.3517,379284697202.3517,379284697202.3517,379284697202.3517,379284697202.3517,379284697202.3517,379284697202.3517,379284697202.3517,379284697202.3517
379284697202.3517,379284697202.3517,379284697202.3517,379284697202.3517,379284697202.3517,379284697202.3517,379284697202.3517,379284697202.3517,379284697202.3517,379284697202.3517
31826736045.15456,31826736045.15456,31826736045.15456,31826736045.15456,31826736045.15456,31826736045.15456,31826736045.15456,31826736045.15456,31826736045.15456,31826736045.15456
31826736045.15456,31826736045.15456,31826736045.15456,31826736045.15456,31826736045.15456,31826736045.15456,31826736045.15456,31826736045.15456,31826736045.15456,31826736045.15456
21491101681.899696,21491101681.899696,21491101681.899696,21491101681.899696,21491101681.899696,21491101681.899696,21491101681.899696,21491101681.899696,21491101681.899696,21491101681.899696
21384778285.11337,21384778285.11337,21384778285.11337,21384778285.11337,21384778285.11337,21384778285.11337,21384778285.11337,21384778285.11337,21384778285.11337,21384778285.11337
21259756310.379654,21259756310.379654,21259756310.379654,21259756310.379654,21259756310.379654,21259756310.379654,21259756310.379654,21259756310.379654,21259756310.379654,21259756310.379654
14005150888.28248,14005150888.28248,14005150888.28248,14005150888.28248,14005150888.28248,14005150888.28248,14005150888.28248,14005150888.28248,14005150888.28248,14005150888.28248
