trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
85455973146.46307,85455973146.46307,85455973146.46307,85455973146.46307,85455973146.46307,85455973146.46307,85455973146.46307,85455973146.46307,85455973146.46307,85455973146.46307
64181227945.32512,64181227945.32512,64181227945.32512,64181227945.32512,64181227945.32512,64181227945.32512,64181227945.32512,64181227945.32512,64181227945.32512,64181227945.32512
42295383022.02895,42295383022.02895,42295383022.02895,42295383022.02895,42295383022.02895,42295383022.02895,42295383022.02895,42295383022.02895,42295383022.02895,42295383022.02895
41861167287.090164,41861167287.090164,41861167287.090164,41861167287.090164,41861167287.090164,41861167287.090164,41861167287.090164,41861167287.090164,41861167287.090164,41861167287.090164
39094346726.20877,39094346726.20877,39094346726.20877,39094346726.20877,39094346726.20877,39094346726.20877,39094346726.20877,39094346726.20877,39094346726.20877,39094346726.20877
33479574215.691837,33479574215.691837,33479574215.691837,33479574215.691837,33479574215.691837,33479574215.691837,33479574215.691837,33479574215.691837,33479574215.691837,33479574215.691837
31085076356.0684,31085076356.0684,31085076356.0684,31085076356.0684,31085076356.0684,31085076356.0684,31085076356.0684,31085076356.0684,31085076356.0684,31085076356.0684
30336244523.54415,30336244523.54415,30336244523.54415,30336244523.54415,30336244523.54415,30336244523.54415,30336244523.54415,30336244523.54415,30336244523.54415,30336244523.54415
26929786550.159622,26929786550.159622,26929786550.159622,26929786550.159622,26929786550.159622,26929786550.159622,26929786550.159622,26929786550.159622,26929786550.159622,26929786550.159622
25654449202.73142,25654449202.73142,25654449202.73142,25654449202.73142,25654449202.73142,25654449202.73142,25654449202.73142,25654449202.73142,25654449202.73142,25654449202.73142
25352449736.986423,25352449736.986423,25352449736.986423,25352449736.986423,25352449736.986423,25352449736.986423,25352449736.986423,25352449736.986423,25352449736.986423,25352449736.986423
23350555059.317623,23350555059.317623,23350555059.317623,23350555059.317623,23350555059.317623,23350555059.317623,23350555059.317623,23350555059.317623,23350555059.317623,23350555059.317623
22052391147.001274,22052391147.001274,22052391147.001274,22052391147.001274,22052391147.001274,22052391147.001274,22052391147.001274,22052391147.001274,22052391147.001274,22052391147.001274
20954599228.058407,20954599228.058407,20954599228.058407,20954599228.058407,20954599228.058407,20954599228.058407,20954599228.058407,20954599228.058407,20954599228.058407,20954599228.058407
20186068794.483917,20186068794.483917,20186068794.483917,20186068794.483917,20186068794.483917,20186068794.483917,20186068794.483917,20186068794.483917,20186068794.483917,20186068794.483917
19182200267.304707,19182200267.304707,19182200267.304707,19182200267.304707,19182200267.304707,19182200267.304707,19182200267.304707,19182200267.304707,19182200267.304707,19182200267.304707
