trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
112129.69543129271,112129.69543129271,112129.69543129271,112129.69543129271,112129.69543129271,112129.69543129271,112129.69543129271,112129.69543129271,112129.69543129271,112129.69543129271
74737.76217162558,74737.76217162558,74737.76217162558,74737.76217162558,74737.76217162558,74737.76217162558,74737.76217162558,74737.76217162558,74737.76217162558,74737.76217162558
59354.25229446159,59354.25229446159,59354.25229446159,59354.25229446159,59354.25229446159,59354.25229446159,59354.25229446159,59354.25229446159,59354.25229446159,59354.25229446159
49059.07068562116,49059.07068562116,49059.07068562116,49059.07068562116,49059.07068562116,49059.07068562116,49059.07068562116,49059.07068562116,49059.07068562116,49059.07068562116
36997.761251468895,36997.761251468895,36997.761251468895,36997.761251468895,36997.761251468895,36997.761251468895,36997.761251468895,36997.761251468895,36997.761251468895,36997.761251468895
34038.87346986457,34038.87346986457,34038.87346986457,34038.87346986457,34038.87346986457,34038.87346986457,34038.87346986457,34038.87346986457,34038.87346986457,34038.87346986457
32763.597133449686,32763.597133449686,32763.597133449686,32763.597133449686,32763.597133449686,32763.597133449686,32763.597133449686,32763.597133449686,32763.597133449686,32763.597133449686
29354.143680156758,29354.143680156758,29354.143680156758,29354.143680156758,29354.143680156758,29354.143680156758,29354.143680156758,29354.143680156758,29354.143680156758,29354.143680156758
28255.061927566112,28255.061927566112,28255.061927566112,28255.061927566112,28255.061927566112,28255.061927566112,28255.061927566112,28255.061927566112,28255.061927566112,28255.061927566112
27281.42498885643,27281.42498885643,27281.42498885643,27281.42498885643,27281.42498885643,27281.42498885643,27281.42498885643,27281.42498885643,27281.42498885643,27281.42498885643
25990.249252137146,25990.249252137146,25990.249252137146,25990.249252137146,25990.249252137146,25990.249252137146,25990.249252137146,25990.249252137146,25990.249252137146,25990.249252137146
24026.802046680088,24026.802046680088,24026.802046680088,24026.802046680088,24026.802046680088,24026.802046680088,24026.802046680088,24026.802046680088,24026.802046680088,24026.802046680088
22564.026768047133,22564.026768047133,22564.026768047133,22564.026768047133,22564.026768047133,22564.026768047133,22564.026768047133,22564.026768047133,22564.026768047133,22564.026768047133
21876.031318474408,21876.031318474408,21876.031318474408,21876.031318474408,21876.031318474408,21876.031318474408,21876.031318474408,21876.031318474408,21876.031318474408,21876.031318474408
21373.457981156356,21373.457981156356,21373.457981156356,21373.457981156356,21373.457981156356,21373.457981156356,21373.457981156356,21373.457981156356,21373.457981156356,21373.457981156356
21156.611480867035,21156.611480867035,21156.611480867035,21156.611480867035,21156.611480867035,21156.611480867035,21156.611480867035,21156.611480867035,21156.611480867035,21156.611480867035
20559.28456094178,20559.28456094178,20559.28456094178,20559.28456094178,20559.28456094178,20559.28456094178,20559.28456094178,20559.28456094178,20559.28456094178,20559.28456094178
19616.559200979355,19616.559200979355,19616.559200979355,19616.559200979355,19616.559200979355,19616.559200979355,19616.559200979355,19616.559200979355,19616.559200979355,19616.559200979355
19034.353793172824,19034.353793172824,19034.353793172824,19034.353793172824,19034.353793172824,19034.353793172824,19034.353793172824,19034.353793172824,19034.353793172824,19034.353793172824
18193.360411421694,18193.360411421694,18193.360411421694,18193.360411421694,18193.360411421694,18193.360411421694,18193.360411421694,18193.360411421694,18193.360411421694,18193.360411421694
17174.84679743513,17174.84679743513,17174.84679743513,17174.84679743513,17174.84679743513,17174.84679743513,17174.84679743513,17174.84679743513,17174.84679743513,17174.84679743513
16936.15578627186,16936.15578627186,16936.15578627186,16936.15578627186,16936.15578627186,16936.15578627186,16936.15578627186,16936.15578627186,16936.15578627186,16936.15578627186
16440.240451729405,16440.240451729405,16440.240451729405,16440.240451729405,16440.240451729405,16440.240451729405,16440.240451729405,16440.240451729405,16440.240451729405,16440.240451729405
15694.728865513178,15694.728865513178,15694.728865513178,15694.728865513178,15694.728865513178,15694.728865513178,15694.728865513178,15694.728865513178,15694.728865513178,15694.728865513178
15342.595881937877,15342.595881937877,15342.595881937877,15342.595881937877,15342.595881937877,15342.595881937877,15342.595881937877,15342.595881937877,15342.595881937877,15342.595881937877
14650.73021733551,14650.73021733551,14650.73021733551,14650.73021733551,14650.73021733551,14650.73021733551,14650.73021733551,14650.73021733551,14650.73021733551,14650.73021733551
14220.84274422776,14220.84274422776,14220.84274422776,14220.84274422776,14220.84274422776,14220.84274422776,14220.84274422776,14220.84274422776,14220.84274422776,14220.84274422776
13812.4301231361,13812.4301231361,13812.4301231361,13812.4301231361,13812.4301231361,13812.4301231361,13812.4301231361,13812.4301231361,13812.4301231361,13812.4301231361
12837.836403271805,12837.836403271805,12837.836403271805,12837.836403271805,12837.836403271805,12837.836403271805,12837.836403271805,12837.836403271805,12837.836403271805,12837.836403271805
12041.529649603224,12041.529649603224,12041.529649603224,12041.529649603224,12041.529649603224,12041.529649603224,12041.529649603224,12041.529649603224,12041.529649603224,12041.529649603224
11371.194459288881,11371.194459288881,11371.194459288881,11371.194459288881,11371.194459288881,11371.194459288881,11371.194459288881,11371.194459288881,11371.194459288881,11371.194459288881
11260.351326354361,11260.351326354361,11260.351326354361,11260.351326354361,11260.351326354361,11260.351326354361,11260.351326354361,11260.351326354361,11260.351326354361,11260.351326354361
10824.27584847007,10824.27584847007,10824.27584847007,10824.27584847007,10824.27584847007,10824.27584847007,10824.27584847007,10824.27584847007,10824.27584847007,10824.27584847007
10354.392152998775,10354.392152998775,10354.392152998775,10354.392152998775,10354.392152998775,10354.392152998775,10354.392152998775,10354.392152998775,10354.392152998775,10354.392152998775
10064.784061245713,10064.784061245713,10064.784061245713,10064.784061245713,10064.784061245713,10064.784061245713,10064.784061245713,10064.784061245713,10064.784061245713,10064.784061245713
9625.631997756112,9625.631997756112,9625.631997756112,9625.631997756112,9625.631997756112,9625.631997756112,9625.631997756112,9625.631997756112,9625.631997756112,9625.631997756112
9322.12679995616,9322.12679995616,9322.12679995616,9322.12679995616,9322.12679995616,9322.12679995616,9322.12679995616,9322.12679995616,9322.12679995616,9322.12679995616
8929.81677747648,8929.81677747648,8929.81677747648,8929.81677747648,8929.81677747648,8929.81677747648,8929.81677747648,8929.81677747648,8929.81677747648,8929.81677747648
8322.781903350362,8322.781903350362,8322.781903350362,8322.781903350362,8322.781903350362,8322.781903350362,8322.781903350362,8322.781903350362,8322.781903350362,8322.781903350362
7613.85114852551,7613.85114852551,7613.85114852551,7613.85114852551,7613.85114852551,7613.85114852551,7613.85114852551,7613.85114852551,7613.85114852551,7613.85114852551
6417.863060231281,6417.863060231281,6417.863060231281,6417.863060231281,6417.863060231281,6417.863060231281,6417.863060231281,6417.863060231281,6417.863060231281,6417.863060231281
6055.941066598313,6055.941066598313,6055.941066598313,6055.941066598313,6055.941066598313,6055.941066598313,6055.941066598313,6055.941066598313,6055.941066598313,6055.941066598313
5383.4648365548155,5383.4648365548155,5383.4648365548155,5383.4648365548155,5383.4648365548155,5383.4648365548155,5383.4648365548155,5383.4648365548155,5383.4648365548155,5383.4648365548155
5006.237285770934,5006.237285770934,5006.237285770934,5006.237285770934,5006.237285770934,5006.237285770934,5006.237285770934,5006.237285770934,5006.237285770934,5006.237285770934
