trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
6484425588.837227,6484425588.837227,6484425588.837227,6484425588.837227,6484425588.837227,6484425588.837227,6484425588.837227,6484425588.837227,6484425588.837227,6484425588.837227
3508211693.3956127,3508211693.3956127,3508211693.3956127,3508211693.3956127,3508211693.3956127,3508211693.3956127,3508211693.3956127,3508211693.3956127,3508211693.3956127,3508211693.3956127
2595664415.0387697,2595664415.0387697,2595664415.0387697,2595664415.0387697,2595664415.0387697,2595664415.0387697,2595664415.0387697,2595664415.0387697,2595664415.0387697,2595664415.0387697
2194600391.805843,2194600391.805843,2194600391.805843,2194600391.805843,2194600391.805843,2194600391.805843,2194600391.805843,2194600391.805843,2194600391.805843,2194600391.805843
1645779063.4141302,1645779063.4141302,1645779063.4141302,1645779063.4141302,1645779063.4141302,1645779063.4141302,1645779063.4141302,1645779063.4141302,1645779063.4141302,1645779063.4141302
1475813467.5084798,1475813467.5084798,1475813467.5084798,1475813467.5084798,1475813467.5084798,1475813467.5084798,1475813467.5084798,1475813467.5084798,1475813467.5084798,1475813467.5084798
1204185748.9354732,1204185748.9354732,1204185748.9354732,1204185748.9354732,1204185748.9354732,1204185748.9354732,1204185748.9354732,1204185748.9354732,1204185748.9354732,1204185748.9354732
770009204.8224322,770009204.8224322,770009204.8224322,770009204.8224322,770009204.8224322,770009204.8224322,770009204.8224322,770009204.8224322,770009204.8224322,770009204.8224322
699931178.4926766,699931178.4926766,699931178.4926766,699931178.4926766,699931178.4926766,699931178.4926766,699931178.4926766,699931178.4926766,699931178.4926766,699931178.4926766
615887152.1217476,615887152.1217476,615887152.1217476,615887152.1217476,615887152.1217476,615887152.1217476,615887152.1217476,615887152.1217476,615887152.1217476,615887152.1217476
435084951.1790745,435084951.1790745,435084951.1790745,435084951.1790745,435084951.1790745,435084951.1790745,435084951.1790745,435084951.1790745,435084951.1790745,435084951.1790745
212726821.711067,212726821.711067,212726821.711067,212726821.711067,212726821.711067,212726821.711067,212726821.711067,212726821.711067,212726821.711067,212726821.711067
158329289.53415447,158329289.53415447,158329289.53415447,158329289.53415447,158329289.53415447,158329289.53415447,158329289.53415447,158329289.53415447,158329289.53415447,158329289.53415447
129135919.39789452,129135919.39789452,129135919.39789452,129135919.39789452,129135919.39789452,129135919.39789452,129135919.39789452,129135919.39789452,129135919.39789452,129135919.39789452
126826207.65068752,126826207.65068752,126826207.65068752,126826207.65068752,126826207.65068752,126826207.65068752,126826207.65068752,126826207.65068752,126826207.65068752,126826207.65068752
126814841.46281666,126814841.46281666,126814841.46281666,126814841.46281666,126814841.46281666,126814841.46281666,126814841.46281666,126814841.46281666,126814841.46281666,126814841.46281666
126776739.85287067,126776739.85287067,126776739.85287067,126776739.85287067,126776739.85287067,126776739.85287067,126776739.85287067,126776739.85287067,126776739.85287067,126776739.85287067
126392261.46863328,126392261.46863328,126392261.46863328,126392261.46863328,126392261.46863328,126392261.46863328,126392261.46863328,126392261.46863328,126392261.46863328,126392261.46863328
125545603.11404872,125545603.11404872,125545603.11404872,125545603.11404872,125545603.11404872,125545603.11404872,125545603.11404872,125545603.11404872,125545603.11404872,125545603.11404872
125169593.28016986,125169593.28016986,125169593.28016986,125169593.28016986,125169593.28016986,125169593.28016986,125169593.28016986,125169593.28016986,125169593.28016986,125169593.28016986
123829204.70874473,123829204.70874473,123829204.70874473,123829204.70874473,123829204.70874473,123829204.70874473,123829204.70874473,123829204.70874473,123829204.70874473,123829204.70874473
120286065.996234,120286065.996234,120286065.996234,120286065.996234,120286065.996234,120286065.996234,120286065.996234,120286065.996234,120286065.996234,120286065.996234
117748465.65359591,117748465.65359591,117748465.65359591,117748465.65359591,117748465.65359591,117748465.65359591,117748465.65359591,117748465.65359591,117748465.65359591,117748465.65359591
107485895.20490946,107485895.20490946,107485895.20490946,107485895.20490946,107485895.20490946,107485895.20490946,107485895.20490946,107485895.20490946,107485895.20490946,107485895.20490946
92906709.75273874,92906709.75273874,92906709.75273874,92906709.75273874,92906709.75273874,92906709.75273874,92906709.75273874,92906709.75273874,92906709.75273874,92906709.75273874
80052293.14388418,80052293.14388418,80052293.14388418,80052293.14388418,80052293.14388418,80052293.14388418,80052293.14388418,80052293.14388418,80052293.14388418,80052293.14388418
75590765.26327096,75590765.26327096,75590765.26327096,75590765.26327096,75590765.26327096,75590765.26327096,75590765.26327096,75590765.26327096,75590765.26327096,75590765.26327096
74920767.43576826,74920767.43576826,74920767.43576826,74920767.43576826,74920767.43576826,74920767.43576826,74920767.43576826,74920767.43576826,74920767.43576826,74920767.43576826
74890435.70568655,74890435.70568655,74890435.70568655,74890435.70568655,74890435.70568655,74890435.70568655,74890435.70568655,74890435.70568655,74890435.70568655,74890435.70568655
74858654.78859663,74858654.78859663,74858654.78859663,74858654.78859663,74858654.78859663,74858654.78859663,74858654.78859663,74858654.78859663,74858654.78859663,74858654.78859663
74858654.78859663,74858654.78859663,74858654.78859663,74858654.78859663,74858654.78859663,74858654.78859663,74858654.78859663,74858654.78859663,74858654.78859663,74858654.78859663
74823617.52587008,74823617.52587008,74823617.52587008,74823617.52587008,74823617.52587008,74823617.52587008,74823617.52587008,74823617.52587008,74823617.52587008,74823617.52587008
74811654.10566431,74811654.10566431,74811654.10566431,74811654.10566431,74811654.10566431,74811654.10566431,74811654.10566431,74811654.10566431,74811654.10566431,74811654.10566431
74811222.89950983,74811222.89950983,74811222.89950983,74811222.89950983,74811222.89950983,74811222.89950983,74811222.89950983,74811222.89950983,74811222.89950983,74811222.89950983
74783429.15932535,74783429.15932535,74783429.15932535,74783429.15932535,74783429.15932535,74783429.15932535,74783429.15932535,74783429.15932535,74783429.15932535,74783429.15932535
74735217.421352,74735217.421352,74735217.421352,74735217.421352,74735217.421352,74735217.421352,74735217.421352,74735217.421352,74735217.421352,74735217.421352
74674589.97771977,74674589.97771977,74674589.97771977,74674589.97771977,74674589.97771977,74674589.97771977,74674589.97771977,74674589.97771977,74674589.97771977,74674589.97771977
74329300.85537152,74329300.85537152,74329300.85537152,74329300.85537152,74329300.85537152,74329300.85537152,74329300.85537152,74329300.85537152,74329300.85537152,74329300.85537152
74205608.47407226,74205608.47407226,74205608.47407226,74205608.47407226,74205608.47407226,74205608.47407226,74205608.47407226,74205608.47407226,74205608.47407226,74205608.47407226
74166843.26343723,74166843.26343723,74166843.26343723,74166843.26343723,74166843.26343723,74166843.26343723,74166843.26343723,74166843.26343723,74166843.26343723,74166843.26343723
74132172.92062093,74132172.92062093,74132172.92062093,74132172.92062093,74132172.92062093,74132172.92062093,74132172.92062093,74132172.92062093,74132172.92062093,74132172.92062093
74088562.27306868,74088562.27306868,74088562.27306868,74088562.27306868,74088562.27306868,74088562.27306868,74088562.27306868,74088562.27306868,74088562.27306868,74088562.27306868
74083437.25720051,74083437.25720051,74083437.25720051,74083437.25720051,74083437.25720051,74083437.25720051,74083437.25720051,74083437.25720051,74083437.25720051,74083437.25720051
74082317.8608638,74082317.8608638,74082317.8608638,74082317.8608638,74082317.8608638,74082317.8608638,74082317.8608638,74082317.8608638,74082317.8608638,74082317.8608638
74076449.64601396,74076449.64601396,74076449.64601396,74076449.64601396,74076449.64601396,74076449.64601396,74076449.64601396,74076449.64601396,74076449.64601396,74076449.64601396
74030553.20536886,74030553.20536886,74030553.20536886,74030553.20536886,74030553.20536886,74030553.20536886,74030553.20536886,74030553.20536886,74030553.20536886,74030553.20536886
73905332.17164016,73905332.17164016,73905332.17164016,73905332.17164016,73905332.17164016,73905332.17164016,73905332.17164016,73905332.17164016,73905332.17164016,73905332.17164016
73741222.39448997,73741222.39448997,73741222.39448997,73741222.39448997,73741222.39448997,73741222.39448997,73741222.39448997,73741222.39448997,73741222.39448997,73741222.39448997
73555640.30438928,73555640.30438928,73555640.30438928,73555640.30438928,73555640.30438928,73555640.30438928,73555640.30438928,73555640.30438928,73555640.30438928,73555640.30438928
73511656.61423205,73511656.61423205,73511656.61423205,73511656.61423205,73511656.61423205,73511656.61423205,73511656.61423205,73511656.61423205,73511656.61423205,73511656.61423205
73504769.67038658,73504769.67038658,73504769.67038658,73504769.67038658,73504769.67038658,73504769.67038658,73504769.67038658,73504769.67038658,73504769.67038658,73504769.67038658
73488373.39647421,73488373.39647421,73488373.39647421,73488373.39647421,73488373.39647421,73488373.39647421,73488373.39647421,73488373.39647421,73488373.39647421,73488373.39647421
73400711.44502729,73400711.44502729,73400711.44502729,73400711.44502729,73400711.44502729,73400711.44502729,73400711.44502729,73400711.44502729,73400711.44502729,73400711.44502729
73337005.7927026,73337005.7927026,73337005.7927026,73337005.7927026,73337005.7927026,73337005.7927026,73337005.7927026,73337005.7927026,73337005.7927026,73337005.7927026
