trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
77153958838.77357,77153958838.77357,77153958838.77357,77153958838.77357,77153958838.77357,77153958838.77357,77153958838.77357,77153958838.77357,77153958838.77357,77153958838.77357
63964816495.24378,63964816495.24378,63964816495.24378,63964816495.24378,63964816495.24378,63964816495.24378,63964816495.24378,63964816495.24378,63964816495.24378,63964816495.24378
59715915415.570274,59715915415.570274,59715915415.570274,59715915415.570274,59715915415.570274,59715915415.570274,59715915415.570274,59715915415.570274,59715915415.570274,59715915415.570274
54458559033.21413,54458559033.21413,54458559033.21413,54458559033.21413,54458559033.21413,54458559033.21413,54458559033.21413,54458559033.21413,54458559033.21413,54458559033.21413
51461107786.967735,51461107786.967735,51461107786.967735,51461107786.967735,51461107786.967735,51461107786.967735,51461107786.967735,51461107786.967735,51461107786.967735,51461107786.967735
49540437527.57359,49540437527.57359,49540437527.57359,49540437527.57359,49540437527.57359,49540437527.57359,49540437527.57359,49540437527.57359,49540437527.57359,49540437527.57359
48564014401.693344,48564014401.693344,48564014401.693344,48564014401.693344,48564014401.693344,48564014401.693344,48564014401.693344,48564014401.693344,48564014401.693344,48564014401.693344
48167223176.974205,48167223176.974205,48167223176.974205,48167223176.974205,48167223176.974205,48167223176.974205,48167223176.974205,48167223176.974205,48167223176.974205,48167223176.974205
47831362862.09712,47831362862.09712,47831362862.09712,47831362862.09712,47831362862.09712,47831362862.09712,47831362862.09712,47831362862.09712,47831362862.09712,47831362862.09712
47489453963.60596,47489453963.60596,47489453963.60596,47489453963.60596,47489453963.60596,47489453963.60596,47489453963.60596,47489453963.60596,47489453963.60596,47489453963.60596
47325493086.08749,47325493086.08749,47325493086.08749,47325493086.08749,47325493086.08749,47325493086.08749,47325493086.08749,47325493086.08749,47325493086.08749,47325493086.08749
47100632978.01061,47100632978.01061,47100632978.01061,47100632978.01061,47100632978.01061,47100632978.01061,47100632978.01061,47100632978.01061,47100632978.01061,47100632978.01061
46747116426.22807,46747116426.22807,46747116426.22807,46747116426.22807,46747116426.22807,46747116426.22807,46747116426.22807,46747116426.22807,46747116426.22807,46747116426.22807
46307260031.12016,46307260031.12016,46307260031.12016,46307260031.12016,46307260031.12016,46307260031.12016,46307260031.12016,46307260031.12016,46307260031.12016,46307260031.12016
45903614564.92339,45903614564.92339,45903614564.92339,45903614564.92339,45903614564.92339,45903614564.92339,45903614564.92339,45903614564.92339,45903614564.92339,45903614564.92339
45581774783.74068,45581774783.74068,45581774783.74068,45581774783.74068,45581774783.74068,45581774783.74068,45581774783.74068,45581774783.74068,45581774783.74068,45581774783.74068
45298498839.58359,45298498839.58359,45298498839.58359,45298498839.58359,45298498839.58359,45298498839.58359,45298498839.58359,45298498839.58359,45298498839.58359,45298498839.58359
44793099611.935715,44793099611.935715,44793099611.935715,44793099611.935715,44793099611.935715,44793099611.935715,44793099611.935715,44793099611.935715,44793099611.935715,44793099611.935715
44538082279.570816,44538082279.570816,44538082279.570816,44538082279.570816,44538082279.570816,44538082279.570816,44538082279.570816,44538082279.570816,44538082279.570816,44538082279.570816
44295062026.196655,44295062026.196655,44295062026.196655,44295062026.196655,44295062026.196655,44295062026.196655,44295062026.196655,44295062026.196655,44295062026.196655,44295062026.196655
43946575666.82655,43946575666.82655,43946575666.82655,43946575666.82655,43946575666.82655,43946575666.82655,43946575666.82655,43946575666.82655,43946575666.82655,43946575666.82655
43870135301.42061,43870135301.42061,43870135301.42061,43870135301.42061,43870135301.42061,43870135301.42061,43870135301.42061,43870135301.42061,43870135301.42061,43870135301.42061
43644246793.55597,43644246793.55597,43644246793.55597,43644246793.55597,43644246793.55597,43644246793.55597,43644246793.55597,43644246793.55597,43644246793.55597,43644246793.55597
43340669557.57512,43340669557.57512,43340669557.57512,43340669557.57512,43340669557.57512,43340669557.57512,43340669557.57512,43340669557.57512,43340669557.57512,43340669557.57512
43279082768.52409,43279082768.52409,43279082768.52409,43279082768.52409,43279082768.52409,43279082768.52409,43279082768.52409,43279082768.52409,43279082768.52409,43279082768.52409
42448904155.48744,42448904155.48744,42448904155.48744,42448904155.48744,42448904155.48744,42448904155.48744,42448904155.48744,42448904155.48744,42448904155.48744,42448904155.48744
41411899861.70713,41411899861.70713,41411899861.70713,41411899861.70713,41411899861.70713,41411899861.70713,41411899861.70713,41411899861.70713,41411899861.70713,41411899861.70713
41047641206.484795,41047641206.484795,41047641206.484795,41047641206.484795,41047641206.484795,41047641206.484795,41047641206.484795,41047641206.484795,41047641206.484795,41047641206.484795
40624846444.11435,40624846444.11435,40624846444.11435,40624846444.11435,40624846444.11435,40624846444.11435,40624846444.11435,40624846444.11435,40624846444.11435,40624846444.11435
40522348884.671616,40522348884.671616,40522348884.671616,40522348884.671616,40522348884.671616,40522348884.671616,40522348884.671616,40522348884.671616,40522348884.671616,40522348884.671616
40045664197.27226,40045664197.27226,40045664197.27226,40045664197.27226,40045664197.27226,40045664197.27226,40045664197.27226,40045664197.27226,40045664197.27226,40045664197.27226
39645483044.01232,39645483044.01232,39645483044.01232,39645483044.01232,39645483044.01232,39645483044.01232,39645483044.01232,39645483044.01232,39645483044.01232,39645483044.01232
39433991344.75841,39433991344.75841,39433991344.75841,39433991344.75841,39433991344.75841,39433991344.75841,39433991344.75841,39433991344.75841,39433991344.75841,39433991344.75841
39137319135.01239,39137319135.01239,39137319135.01239,39137319135.01239,39137319135.01239,39137319135.01239,39137319135.01239,39137319135.01239,39137319135.01239,39137319135.01239
