trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
14484142399.521427,14484142399.521427,14484142399.521427,14484142399.521427,14484142399.521427,14484142399.521427,14484142399.521427,14484142399.521427,14484142399.521427,14484142399.521427
12179120403.837103,12179120403.837103,12179120403.837103,12179120403.837103,12179120403.837103,12179120403.837103,12179120403.837103,12179120403.837103,12179120403.837103,12179120403.837103
6178483606.711897,6178483606.711897,6178483606.711897,6178483606.711897,6178483606.711897,6178483606.711897,6178483606.711897,6178483606.711897,6178483606.711897,6178483606.711897
4650339124.046248,4650339124.046248,4650339124.046248,4650339124.046248,4650339124.046248,4650339124.046248,4650339124.046248,4650339124.046248,4650339124.046248,4650339124.046248
3241888954.631178,3241888954.631178,3241888954.631178,3241888954.631178,3241888954.631178,3241888954.631178,3241888954.631178,3241888954.631178,3241888954.631178,3241888954.631178
1519237942.1436424,1519237942.1436424,1519237942.1436424,1519237942.1436424,1519237942.1436424,1519237942.1436424,1519237942.1436424,1519237942.1436424,1519237942.1436424,1519237942.1436424
1197354660.0169132,1197354660.0169132,1197354660.0169132,1197354660.0169132,1197354660.0169132,1197354660.0169132,1197354660.0169132,1197354660.0169132,1197354660.0169132,1197354660.0169132
510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362
510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362
510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362
510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362,510390183.5210362
245053850.67648125,245053850.67648125,245053850.67648125,245053850.67648125,245053850.67648125,245053850.67648125,245053850.67648125,245053850.67648125,245053850.67648125,245053850.67648125
