trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
241569.5462591438,241569.5462591438,241569.5462591438,241569.5462591438,241569.5462591438,241569.5462591438,241569.5462591438,241569.5462591438,241569.5462591438,241569.5462591438
241569.5462591438,241569.5462591438,241569.5462591438,241569.5462591438,241569.5462591438,241569.5462591438,241569.5462591438,241569.5462591438,241569.5462591438,241569.5462591438
218916.69478692074,218916.69478692074,218916.69478692074,218916.69478692074,218916.69478692074,218916.69478692074,218916.69478692074,218916.69478692074,218916.69478692074,218916.69478692074
218916.69478692074,218916.69478692074,218916.69478692074,218916.69478692074,218916.69478692074,218916.69478692074,218916.69478692074,218916.69478692074,218916.69478692074,218916.69478692074
208714.22874870567,208714.22874870567,208714.22874870567,208714.22874870567,208714.22874870567,208714.22874870567,208714.22874870567,208714.22874870567,208714.22874870567,208714.22874870567
179898.32779701732,179898.32779701732,179898.32779701732,179898.32779701732,179898.32779701732,179898.32779701732,179898.32779701732,179898.32779701732,179898.32779701732,179898.32779701732
173764.15312647558,173764.15312647558,173764.15312647558,173764.15312647558,173764.15312647558,173764.15312647558,173764.15312647558,173764.15312647558,173764.15312647558,173764.15312647558
139268.9805598597,139268.9805598597,139268.9805598597,139268.9805598597,139268.9805598597,139268.9805598597,139268.9805598597,139268.9805598597,139268.9805598597,139268.9805598597
118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705
118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705
118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705
118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705,118655.02814648705
118035.68430922469,118035.68430922469,118035.68430922469,118035.68430922469,118035.68430922469,118035.68430922469,118035.68430922469,118035.68430922469,118035.68430922469,118035.68430922469
89943.85223185054,89943.85223185054,89943.85223185054,89943.85223185054,89943.85223185054,89943.85223185054,89943.85223185054,89943.85223185054,89943.85223185054,89943.85223185054
89943.85223185054,89943.85223185054,89943.85223185054,89943.85223185054,89943.85223185054,89943.85223185054,89943.85223185054,89943.85223185054,89943.85223185054,89943.85223185054
84119.82829787588,84119.82829787588,84119.82829787588,84119.82829787588,84119.82829787588,84119.82829787588,84119.82829787588,84119.82829787588,84119.82829787588,84119.82829787588
84119.82829787588,84119.82829787588,84119.82829787588,84119.82829787588,84119.82829787588,84119.82829787588,84119.82829787588,84119.82829787588,84119.82829787588,84119.82829787588
84119.82829787588,84119.82829787588,84119.82829787588,84119.82829787588,84119.82829787588,84119.82829787588,84119.82829787588,84119.82829787588,84119.82829787588,84119.82829787588
78602.58424411649,78602.58424411649,78602.58424411649,78602.58424411649,78602.58424411649,78602.58424411649,78602.58424411649,78602.58424411649,78602.58424411649,78602.58424411649
78602.58424411649,78602.58424411649,78602.58424411649,78602.58424411649,78602.58424411649,78602.58424411649,78602.58424411649,78602.58424411649,78602.58424411649,78602.58424411649
78602.58424411649,78602.58424411649,78602.58424411649,78602.58424411649,78602.58424411649,78602.58424411649,78602.58424411649,78602.58424411649,78602.58424411649,78602.58424411649
71054.07899587363,71054.07899587363,71054.07899587363,71054.07899587363,71054.07899587363,71054.07899587363,71054.07899587363,71054.07899587363,71054.07899587363,71054.07899587363
68529.23837129564,68529.23837129564,68529.23837129564,68529.23837129564,68529.23837129564,68529.23837129564,68529.23837129564,68529.23837129564,68529.23837129564,68529.23837129564
68529.23837129564,68529.23837129564,68529.23837129564,68529.23837129564,68529.23837129564,68529.23837129564,68529.23837129564,68529.23837129564,68529.23837129564,68529.23837129564
68529.23837129564,68529.23837129564,68529.23837129564,68529.23837129564,68529.23837129564,68529.23837129564,68529.23837129564,68529.23837129564,68529.23837129564,68529.23837129564
57691.484380734044,57691.484380734044,57691.484380734044,57691.484380734044,57691.484380734044,57691.484380734044,57691.484380734044,57691.484380734044,57691.484380734044,57691.484380734044
57691.484380734044,57691.484380734044,57691.484380734044,57691.484380734044,57691.484380734044,57691.484380734044,57691.484380734044,57691.484380734044,57691.484380734044,57691.484380734044
57691.484380734044,57691.484380734044,57691.484380734044,57691.484380734044,57691.484380734044,57691.484380734044,57691.484380734044,57691.484380734044,57691.484380734044,57691.484380734044
53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424
53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424
53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424
53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424
53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424,53855.5474702424
51943.8354525591,51943.8354525591,51943.8354525591,51943.8354525591,51943.8354525591,51943.8354525591,51943.8354525591,51943.8354525591,51943.8354525591,51943.8354525591
51943.8354525591,51943.8354525591,51943.8354525591,51943.8354525591,51943.8354525591,51943.8354525591,51943.8354525591,51943.8354525591,51943.8354525591,51943.8354525591
51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878
51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878
51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878
51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878,51432.90553121878
51094.07771276964,51094.07771276964,51094.07771276964,51094.07771276964,51094.07771276964,51094.07771276964,51094.07771276964,51094.07771276964,51094.07771276964,51094.07771276964
51094.07771276964,51094.07771276964,51094.07771276964,51094.07771276964,51094.07771276964,51094.07771276964,51094.07771276964,51094.07771276964,51094.07771276964,51094.07771276964
48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764
48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764
48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764
48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764,48468.815858529764
48257.4294091652,48257.4294091652,48257.4294091652,48257.4294091652,48257.4294091652,48257.4294091652,48257.4294091652,48257.4294091652,48257.4294091652,48257.4294091652
46721.839099536905,46721.839099536905,46721.839099536905,46721.839099536905,46721.839099536905,46721.839099536905,46721.839099536905,46721.839099536905,46721.839099536905,46721.839099536905
46721.839099536905,46721.839099536905,46721.839099536905,46721.839099536905,46721.839099536905,46721.839099536905,46721.839099536905,46721.839099536905,46721.839099536905,46721.839099536905
45698.43095537488,45698.43095537488,45698.43095537488,45698.43095537488,45698.43095537488,45698.43095537488,45698.43095537488,45698.43095537488,45698.43095537488,45698.43095537488
45698.43095537488,45698.43095537488,45698.43095537488,45698.43095537488,45698.43095537488,45698.43095537488,45698.43095537488,45698.43095537488,45698.43095537488,45698.43095537488
45698.43095537488,45698.43095537488,45698.43095537488,45698.43095537488,45698.43095537488,45698.43095537488,45698.43095537488,45698.43095537488,45698.43095537488,45698.43095537488
