trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
92033.20307089943,92033.20307089943,92033.20307089943,92033.20307089943,92033.20307089943,92033.20307089943,92033.20307089943,92033.20307089943,92033.20307089943,92033.20307089943
75038.52833495078,75038.52833495078,75038.52833495078,75038.52833495078,75038.52833495078,75038.52833495078,75038.52833495078,75038.52833495078,75038.52833495078,75038.52833495078
62123.69289087273,62123.69289087273,62123.69289087273,62123.69289087273,62123.69289087273,62123.69289087273,62123.69289087273,62123.69289087273,62123.69289087273,62123.69289087273
54499.18660174199,54499.18660174199,54499.18660174199,54499.18660174199,54499.18660174199,54499.18660174199,54499.18660174199,54499.18660174199,54499.18660174199,54499.18660174199
50708.740944716425,50708.740944716425,50708.740944716425,50708.740944716425,50708.740944716425,50708.740944716425,50708.740944716425,50708.740944716425,50708.740944716425,50708.740944716425
44734.65603027341,44734.65603027341,44734.65603027341,44734.65603027341,44734.65603027341,44734.65603027341,44734.65603027341,44734.65603027341,44734.65603027341,44734.65603027341
40236.08511129131,40236.08511129131,40236.08511129131,40236.08511129131,40236.08511129131,40236.08511129131,40236.08511129131,40236.08511129131,40236.08511129131,40236.08511129131
33368.182399197365,33368.182399197365,33368.182399197365,33368.182399197365,33368.182399197365,33368.182399197365,33368.182399197365,33368.182399197365,33368.182399197365,33368.182399197365
31447.136823267097,31447.136823267097,31447.136823267097,31447.136823267097,31447.136823267097,31447.136823267097,31447.136823267097,31447.136823267097,31447.136823267097,31447.136823267097
28335.777274939563,28335.777274939563,28335.777274939563,28335.777274939563,28335.777274939563,28335.777274939563,28335.777274939563,28335.777274939563,28335.777274939563,28335.777274939563
26399.88623440357,26399.88623440357,26399.88623440357,26399.88623440357,26399.88623440357,26399.88623440357,26399.88623440357,26399.88623440357,26399.88623440357,26399.88623440357
20815.38435943928,20815.38435943928,20815.38435943928,20815.38435943928,20815.38435943928,20815.38435943928,20815.38435943928,20815.38435943928,20815.38435943928,20815.38435943928
19526.06707942918,19526.06707942918,19526.06707942918,19526.06707942918,19526.06707942918,19526.06707942918,19526.06707942918,19526.06707942918,19526.06707942918,19526.06707942918
17772.671054499573,17772.671054499573,17772.671054499573,17772.671054499573,17772.671054499573,17772.671054499573,17772.671054499573,17772.671054499573,17772.671054499573,17772.671054499573
16448.852854389414,16448.852854389414,16448.852854389414,16448.852854389414,16448.852854389414,16448.852854389414,16448.852854389414,16448.852854389414,16448.852854389414,16448.852854389414
15208.086332882676,15208.086332882676,15208.086332882676,15208.086332882676,15208.086332882676,15208.086332882676,15208.086332882676,15208.086332882676,15208.086332882676,15208.086332882676
14741.265872754822,14741.265872754822,14741.265872754822,14741.265872754822,14741.265872754822,14741.265872754822,14741.265872754822,14741.265872754822,14741.265872754822,14741.265872754822
14283.883948435901,14283.883948435901,14283.883948435901,14283.883948435901,14283.883948435901,14283.883948435901,14283.883948435901,14283.883948435901,14283.883948435901,14283.883948435901
13049.540353410888,13049.540353410888,13049.540353410888,13049.540353410888,13049.540353410888,13049.540353410888,13049.540353410888,13049.540353410888,13049.540353410888,13049.540353410888
12127.873894867833,12127.873894867833,12127.873894867833,12127.873894867833,12127.873894867833,12127.873894867833,12127.873894867833,12127.873894867833,12127.873894867833,12127.873894867833
10864.65862508499,10864.65862508499,10864.65862508499,10864.65862508499,10864.65862508499,10864.65862508499,10864.65862508499,10864.65862508499,10864.65862508499,10864.65862508499
10466.37902026623,10466.37902026623,10466.37902026623,10466.37902026623,10466.37902026623,10466.37902026623,10466.37902026623,10466.37902026623,10466.37902026623,10466.37902026623
9654.817034940757,9654.817034940757,9654.817034940757,9654.817034940757,9654.817034940757,9654.817034940757,9654.817034940757,9654.817034940757,9654.817034940757,9654.817034940757
9443.112581060428,9443.112581060428,9443.112581060428,9443.112581060428,9443.112581060428,9443.112581060428,9443.112581060428,9443.112581060428,9443.112581060428,9443.112581060428
9184.746884304308,9184.746884304308,9184.746884304308,9184.746884304308,9184.746884304308,9184.746884304308,9184.746884304308,9184.746884304308,9184.746884304308,9184.746884304308
8712.272352130096,8712.272352130096,8712.272352130096,8712.272352130096,8712.272352130096,8712.272352130096,8712.272352130096,8712.272352130096,8712.272352130096,8712.272352130096
8115.481826401703,8115.481826401703,8115.481826401703,8115.481826401703,8115.481826401703,8115.481826401703,8115.481826401703,8115.481826401703,8115.481826401703,8115.481826401703
7890.63533607661,7890.63533607661,7890.63533607661,7890.63533607661,7890.63533607661,7890.63533607661,7890.63533607661,7890.63533607661,7890.63533607661,7890.63533607661
7697.696539566032,7697.696539566032,7697.696539566032,7697.696539566032,7697.696539566032,7697.696539566032,7697.696539566032,7697.696539566032,7697.696539566032,7697.696539566032
7509.200967503863,7509.200967503863,7509.200967503863,7509.200967503863,7509.200967503863,7509.200967503863,7509.200967503863,7509.200967503863,7509.200967503863,7509.200967503863
6938.5804106901605,6938.5804106901605,6938.5804106901605,6938.5804106901605,6938.5804106901605,6938.5804106901605,6938.5804106901605,6938.5804106901605,6938.5804106901605,6938.5804106901605
6794.4330244825105,6794.4330244825105,6794.4330244825105,6794.4330244825105,6794.4330244825105,6794.4330244825105,6794.4330244825105,6794.4330244825105,6794.4330244825105,6794.4330244825105
6248.005610868545,6248.005610868545,6248.005610868545,6248.005610868545,6248.005610868545,6248.005610868545,6248.005610868545,6248.005610868545,6248.005610868545,6248.005610868545
6072.038115415019,6072.038115415019,6072.038115415019,6072.038115415019,6072.038115415019,6072.038115415019,6072.038115415019,6072.038115415019,6072.038115415019,6072.038115415019
5805.432771871364,5805.432771871364,5805.432771871364,5805.432771871364,5805.432771871364,5805.432771871364,5805.432771871364,5805.432771871364,5805.432771871364,5805.432771871364
