trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
4972992564.449322,4972992564.449322,4972992564.449322,4972992564.449322,4972992564.449322,4972992564.449322,4972992564.449322,4972992564.449322,4972992564.449322,4972992564.449322
2547771951.7333555,2547771951.7333555,2547771951.7333555,2547771951.7333555,2547771951.7333555,2547771951.7333555,2547771951.7333555,2547771951.7333555,2547771951.7333555,2547771951.7333555
2547771951.7333555,2547771951.7333555,2547771951.7333555,2547771951.7333555,2547771951.7333555,2547771951.7333555,2547771951.7333555,2547771951.7333555,2547771951.7333555,2547771951.7333555
2547771951.7333555,2547771951.7333555,2547771951.7333555,2547771951.7333555,2547771951.7333555,2547771951.7333555,2547771951.7333555,2547771951.7333555,2547771951.7333555,2547771951.7333555
1886188277.7368357,1886188277.7368357,1886188277.7368357,1886188277.7368357,1886188277.7368357,1886188277.7368357,1886188277.7368357,1886188277.7368357,1886188277.7368357,1886188277.7368357
1886188277.7368357,1886188277.7368357,1886188277.7368357,1886188277.7368357,1886188277.7368357,1886188277.7368357,1886188277.7368357,1886188277.7368357,1886188277.7368357,1886188277.7368357
1886188277.7368357,1886188277.7368357,1886188277.7368357,1886188277.7368357,1886188277.7368357,1886188277.7368357,1886188277.7368357,1886188277.7368357,1886188277.7368357,1886188277.7368357
1004799374.2606413,1004799374.2606413,1004799374.2606413,1004799374.2606413,1004799374.2606413,1004799374.2606413,1004799374.2606413,1004799374.2606413,1004799374.2606413,1004799374.2606413
1004799374.2606413,1004799374.2606413,1004799374.2606413,1004799374.2606413,1004799374.2606413,1004799374.2606413,1004799374.2606413,1004799374.2606413,1004799374.2606413,1004799374.2606413
1004799374.2606413,1004799374.2606413,1004799374.2606413,1004799374.2606413,1004799374.2606413,1004799374.2606413,1004799374.2606413,1004799374.2606413,1004799374.2606413,1004799374.2606413
929685012.6310359,929685012.6310359,929685012.6310359,929685012.6310359,929685012.6310359,929685012.6310359,929685012.6310359,929685012.6310359,929685012.6310359,929685012.6310359
806717443.5068245,806717443.5068245,806717443.5068245,806717443.5068245,806717443.5068245,806717443.5068245,806717443.5068245,806717443.5068245,806717443.5068245,806717443.5068245
806717443.5068245,806717443.5068245,806717443.5068245,806717443.5068245,806717443.5068245,806717443.5068245,806717443.5068245,806717443.5068245,806717443.5068245,806717443.5068245
613023295.7487699,613023295.7487699,613023295.7487699,613023295.7487699,613023295.7487699,613023295.7487699,613023295.7487699,613023295.7487699,613023295.7487699,613023295.7487699
613023295.7487699,613023295.7487699,613023295.7487699,613023295.7487699,613023295.7487699,613023295.7487699,613023295.7487699,613023295.7487699,613023295.7487699,613023295.7487699
613023295.7487699,613023295.7487699,613023295.7487699,613023295.7487699,613023295.7487699,613023295.7487699,613023295.7487699,613023295.7487699,613023295.7487699,613023295.7487699
