trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
80036010596.78261,80036010596.78261,80036010596.78261,80036010596.78261,80036010596.78261,80036010596.78261,80036010596.78261,80036010596.78261,80036010596.78261,80036010596.78261
63740156901.49053,63740156901.49053,63740156901.49053,63740156901.49053,63740156901.49053,63740156901.49053,63740156901.49053,63740156901.49053,63740156901.49053,63740156901.49053
62708960162.90735,62708960162.90735,62708960162.90735,62708960162.90735,62708960162.90735,62708960162.90735,62708960162.90735,62708960162.90735,62708960162.90735,62708960162.90735
60696106727.05619,60696106727.05619,60696106727.05619,60696106727.05619,60696106727.05619,60696106727.05619,60696106727.05619,60696106727.05619,60696106727.05619,60696106727.05619
45601007302.30758,45601007302.30758,45601007302.30758,45601007302.30758,45601007302.30758,45601007302.30758,45601007302.30758,45601007302.30758,45601007302.30758,45601007302.30758
44375142637.38427,44375142637.38427,44375142637.38427,44375142637.38427,44375142637.38427,44375142637.38427,44375142637.38427,44375142637.38427,44375142637.38427,44375142637.38427
44081284049.51848,44081284049.51848,44081284049.51848,44081284049.51848,44081284049.51848,44081284049.51848,44081284049.51848,44081284049.51848,44081284049.51848,44081284049.51848
43405048866.49465,43405048866.49465,43405048866.49465,43405048866.49465,43405048866.49465,43405048866.49465,43405048866.49465,43405048866.49465,43405048866.49465,43405048866.49465
42541807262.12985,42541807262.12985,42541807262.12985,42541807262.12985,42541807262.12985,42541807262.12985,42541807262.12985,42541807262.12985,42541807262.12985,42541807262.12985
41635086133.7306,41635086133.7306,41635086133.7306,41635086133.7306,41635086133.7306,41635086133.7306,41635086133.7306,41635086133.7306,41635086133.7306,41635086133.7306
40698643498.22362,40698643498.22362,40698643498.22362,40698643498.22362,40698643498.22362,40698643498.22362,40698643498.22362,40698643498.22362,40698643498.22362,40698643498.22362
39809629377.41435,39809629377.41435,39809629377.41435,39809629377.41435,39809629377.41435,39809629377.41435,39809629377.41435,39809629377.41435,39809629377.41435,39809629377.41435
38886791645.22586,38886791645.22586,38886791645.22586,38886791645.22586,38886791645.22586,38886791645.22586,38886791645.22586,38886791645.22586,38886791645.22586,38886791645.22586
38561666574.05671,38561666574.05671,38561666574.05671,38561666574.05671,38561666574.05671,38561666574.05671,38561666574.05671,38561666574.05671,38561666574.05671,38561666574.05671
38237976490.73555,38237976490.73555,38237976490.73555,38237976490.73555,38237976490.73555,38237976490.73555,38237976490.73555,38237976490.73555,38237976490.73555,38237976490.73555
37589205665.18767,37589205665.18767,37589205665.18767,37589205665.18767,37589205665.18767,37589205665.18767,37589205665.18767,37589205665.18767,37589205665.18767,37589205665.18767
37331993712.05329,37331993712.05329,37331993712.05329,37331993712.05329,37331993712.05329,37331993712.05329,37331993712.05329,37331993712.05329,37331993712.05329,37331993712.05329
36095368686.19323,36095368686.19323,36095368686.19323,36095368686.19323,36095368686.19323,36095368686.19323,36095368686.19323,36095368686.19323,36095368686.19323,36095368686.19323
36059120843.30016,36059120843.30016,36059120843.30016,36059120843.30016,36059120843.30016,36059120843.30016,36059120843.30016,36059120843.30016,36059120843.30016,36059120843.30016
35846726286.82547,35846726286.82547,35846726286.82547,35846726286.82547,35846726286.82547,35846726286.82547,35846726286.82547,35846726286.82547,35846726286.82547,35846726286.82547
35736705907.55424,35736705907.55424,35736705907.55424,35736705907.55424,35736705907.55424,35736705907.55424,35736705907.55424,35736705907.55424,35736705907.55424,35736705907.55424
35556822783.41053,35556822783.41053,35556822783.41053,35556822783.41053,35556822783.41053,35556822783.41053,35556822783.41053,35556822783.41053,35556822783.41053,35556822783.41053
35458164777.52779,35458164777.52779,35458164777.52779,35458164777.52779,35458164777.52779,35458164777.52779,35458164777.52779,35458164777.52779,35458164777.52779,35458164777.52779
35429190863.743324,35429190863.743324,35429190863.743324,35429190863.743324,35429190863.743324,35429190863.743324,35429190863.743324,35429190863.743324,35429190863.743324,35429190863.743324
35392720840.31444,35392720840.31444,35392720840.31444,35392720840.31444,35392720840.31444,35392720840.31444,35392720840.31444,35392720840.31444,35392720840.31444,35392720840.31444
35287666599.26072,35287666599.26072,35287666599.26072,35287666599.26072,35287666599.26072,35287666599.26072,35287666599.26072,35287666599.26072,35287666599.26072,35287666599.26072
35081839890.337776,35081839890.337776,35081839890.337776,35081839890.337776,35081839890.337776,35081839890.337776,35081839890.337776,35081839890.337776,35081839890.337776,35081839890.337776
34813125058.886444,34813125058.886444,34813125058.886444,34813125058.886444,34813125058.886444,34813125058.886444,34813125058.886444,34813125058.886444,34813125058.886444,34813125058.886444
34684982242.35224,34684982242.35224,34684982242.35224,34684982242.35224,34684982242.35224,34684982242.35224,34684982242.35224,34684982242.35224,34684982242.35224,34684982242.35224
34459715017.48976,34459715017.48976,34459715017.48976,34459715017.48976,34459715017.48976,34459715017.48976,34459715017.48976,34459715017.48976,34459715017.48976,34459715017.48976
33987009445.555386,33987009445.555386,33987009445.555386,33987009445.555386,33987009445.555386,33987009445.555386,33987009445.555386,33987009445.555386,33987009445.555386,33987009445.555386
33580225611.830482,33580225611.830482,33580225611.830482,33580225611.830482,33580225611.830482,33580225611.830482,33580225611.830482,33580225611.830482,33580225611.830482,33580225611.830482
33097577714.76981,33097577714.76981,33097577714.76981,33097577714.76981,33097577714.76981,33097577714.76981,33097577714.76981,33097577714.76981,33097577714.76981,33097577714.76981
32759679791.254166,32759679791.254166,32759679791.254166,32759679791.254166,32759679791.254166,32759679791.254166,32759679791.254166,32759679791.254166,32759679791.254166,32759679791.254166
32478570247.815266,32478570247.815266,32478570247.815266,32478570247.815266,32478570247.815266,32478570247.815266,32478570247.815266,32478570247.815266,32478570247.815266,32478570247.815266
32255853139.96535,32255853139.96535,32255853139.96535,32255853139.96535,32255853139.96535,32255853139.96535,32255853139.96535,32255853139.96535,32255853139.96535,32255853139.96535
32191678498.597466,32191678498.597466,32191678498.597466,32191678498.597466,32191678498.597466,32191678498.597466,32191678498.597466,32191678498.597466,32191678498.597466,32191678498.597466
32026756189.119904,32026756189.119904,32026756189.119904,32026756189.119904,32026756189.119904,32026756189.119904,32026756189.119904,32026756189.119904,32026756189.119904,32026756189.119904
31989205708.89065,31989205708.89065,31989205708.89065,31989205708.89065,31989205708.89065,31989205708.89065,31989205708.89065,31989205708.89065,31989205708.89065,31989205708.89065
31802125627.97374,31802125627.97374,31802125627.97374,31802125627.97374,31802125627.97374,31802125627.97374,31802125627.97374,31802125627.97374,31802125627.97374,31802125627.97374
31507667227.205193,31507667227.205193,31507667227.205193,31507667227.205193,31507667227.205193,31507667227.205193,31507667227.205193,31507667227.205193,31507667227.205193,31507667227.205193
31413285441.528763,31413285441.528763,31413285441.528763,31413285441.528763,31413285441.528763,31413285441.528763,31413285441.528763,31413285441.528763,31413285441.528763,31413285441.528763
31095128199.874542,31095128199.874542,31095128199.874542,31095128199.874542,31095128199.874542,31095128199.874542,31095128199.874542,31095128199.874542,31095128199.874542,31095128199.874542
30734543182.707104,30734543182.707104,30734543182.707104,30734543182.707104,30734543182.707104,30734543182.707104,30734543182.707104,30734543182.707104,30734543182.707104,30734543182.707104
30560923600.60187,30560923600.60187,30560923600.60187,30560923600.60187,30560923600.60187,30560923600.60187,30560923600.60187,30560923600.60187,30560923600.60187,30560923600.60187
30344815204.541756,30344815204.541756,30344815204.541756,30344815204.541756,30344815204.541756,30344815204.541756,30344815204.541756,30344815204.541756,30344815204.541756,30344815204.541756
29987555693.026287,29987555693.026287,29987555693.026287,29987555693.026287,29987555693.026287,29987555693.026287,29987555693.026287,29987555693.026287,29987555693.026287,29987555693.026287
29346057798.520985,29346057798.520985,29346057798.520985,29346057798.520985,29346057798.520985,29346057798.520985,29346057798.520985,29346057798.520985,29346057798.520985,29346057798.520985
29094097464.79882,29094097464.79882,29094097464.79882,29094097464.79882,29094097464.79882,29094097464.79882,29094097464.79882,29094097464.79882,29094097464.79882,29094097464.79882
28587769207.699978,28587769207.699978,28587769207.699978,28587769207.699978,28587769207.699978,28587769207.699978,28587769207.699978,28587769207.699978,28587769207.699978,28587769207.699978
28269443923.90487,28269443923.90487,28269443923.90487,28269443923.90487,28269443923.90487,28269443923.90487,28269443923.90487,28269443923.90487,28269443923.90487,28269443923.90487
27574499112.15925,27574499112.15925,27574499112.15925,27574499112.15925,27574499112.15925,27574499112.15925,27574499112.15925,27574499112.15925,27574499112.15925,27574499112.15925
27437549049.40548,27437549049.40548,27437549049.40548,27437549049.40548,27437549049.40548,27437549049.40548,27437549049.40548,27437549049.40548,27437549049.40548,27437549049.40548
27262042392.76422,27262042392.76422,27262042392.76422,27262042392.76422,27262042392.76422,27262042392.76422,27262042392.76422,27262042392.76422,27262042392.76422,27262042392.76422
27208589109.82035,27208589109.82035,27208589109.82035,27208589109.82035,27208589109.82035,27208589109.82035,27208589109.82035,27208589109.82035,27208589109.82035,27208589109.82035
27119357558.419704,27119357558.419704,27119357558.419704,27119357558.419704,27119357558.419704,27119357558.419704,27119357558.419704,27119357558.419704,27119357558.419704,27119357558.419704
27085962434.53564,27085962434.53564,27085962434.53564,27085962434.53564,27085962434.53564,27085962434.53564,27085962434.53564,27085962434.53564,27085962434.53564,27085962434.53564
27071944438.227715,27071944438.227715,27071944438.227715,27071944438.227715,27071944438.227715,27071944438.227715,27071944438.227715,27071944438.227715,27071944438.227715,27071944438.227715
27019272634.247276,27019272634.247276,27019272634.247276,27019272634.247276,27019272634.247276,27019272634.247276,27019272634.247276,27019272634.247276,27019272634.247276,27019272634.247276
