trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
11990111962.255606,11990111962.255606,11990111962.255606,11990111962.255606,11990111962.255606,11990111962.255606,11990111962.255606,11990111962.255606,11990111962.255606,11990111962.255606
9397003338.964247,9397003338.964247,9397003338.964247,9397003338.964247,9397003338.964247,9397003338.964247,9397003338.964247,9397003338.964247,9397003338.964247,9397003338.964247
6581563822.83013,6581563822.83013,6581563822.83013,6581563822.83013,6581563822.83013,6581563822.83013,6581563822.83013,6581563822.83013,6581563822.83013,6581563822.83013
6100446911.685558,6100446911.685558,6100446911.685558,6100446911.685558,6100446911.685558,6100446911.685558,6100446911.685558,6100446911.685558,6100446911.685558,6100446911.685558
3643986470.556951,3643986470.556951,3643986470.556951,3643986470.556951,3643986470.556951,3643986470.556951,3643986470.556951,3643986470.556951,3643986470.556951,3643986470.556951
2701384971.995797,2701384971.995797,2701384971.995797,2701384971.995797,2701384971.995797,2701384971.995797,2701384971.995797,2701384971.995797,2701384971.995797,2701384971.995797
2498427447.8939877,2498427447.8939877,2498427447.8939877,2498427447.8939877,2498427447.8939877,2498427447.8939877,2498427447.8939877,2498427447.8939877,2498427447.8939877,2498427447.8939877
2358482450.7289543,2358482450.7289543,2358482450.7289543,2358482450.7289543,2358482450.7289543,2358482450.7289543,2358482450.7289543,2358482450.7289543,2358482450.7289543,2358482450.7289543
2257126263.132188,2257126263.132188,2257126263.132188,2257126263.132188,2257126263.132188,2257126263.132188,2257126263.132188,2257126263.132188,2257126263.132188,2257126263.132188
2237663062.6063547,2237663062.6063547,2237663062.6063547,2237663062.6063547,2237663062.6063547,2237663062.6063547,2237663062.6063547,2237663062.6063547,2237663062.6063547,2237663062.6063547
2021015435.0813942,2021015435.0813942,2021015435.0813942,2021015435.0813942,2021015435.0813942,2021015435.0813942,2021015435.0813942,2021015435.0813942,2021015435.0813942,2021015435.0813942
1908429731.4452088,1908429731.4452088,1908429731.4452088,1908429731.4452088,1908429731.4452088,1908429731.4452088,1908429731.4452088,1908429731.4452088,1908429731.4452088,1908429731.4452088
1887548653.4535348,1887548653.4535348,1887548653.4535348,1887548653.4535348,1887548653.4535348,1887548653.4535348,1887548653.4535348,1887548653.4535348,1887548653.4535348,1887548653.4535348
1814501258.4238088,1814501258.4238088,1814501258.4238088,1814501258.4238088,1814501258.4238088,1814501258.4238088,1814501258.4238088,1814501258.4238088,1814501258.4238088,1814501258.4238088
1797114927.9932308,1797114927.9932308,1797114927.9932308,1797114927.9932308,1797114927.9932308,1797114927.9932308,1797114927.9932308,1797114927.9932308,1797114927.9932308,1797114927.9932308
1778432772.4835777,1778432772.4835777,1778432772.4835777,1778432772.4835777,1778432772.4835777,1778432772.4835777,1778432772.4835777,1778432772.4835777,1778432772.4835777,1778432772.4835777
