trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
1388657363.1606433,1388657363.1606433,1388657363.1606433,1388657363.1606433,1388657363.1606433,1388657363.1606433,1388657363.1606433,1388657363.1606433,1388657363.1606433,1388657363.1606433
825885592.1817409,825885592.1817409,825885592.1817409,825885592.1817409,825885592.1817409,825885592.1817409,825885592.1817409,825885592.1817409,825885592.1817409,825885592.1817409
351862101.2419263,351862101.2419263,351862101.2419263,351862101.2419263,351862101.2419263,351862101.2419263,351862101.2419263,351862101.2419263,351862101.2419263,351862101.2419263
351862101.2419263,351862101.2419263,351862101.2419263,351862101.2419263,351862101.2419263,351862101.2419263,351862101.2419263,351862101.2419263,351862101.2419263,351862101.2419263
55916546.35280734,55916546.35280734,55916546.35280734,55916546.35280734,55916546.35280734,55916546.35280734,55916546.35280734,55916546.35280734,55916546.35280734,55916546.35280734
55916546.35280734,55916546.35280734,55916546.35280734,55916546.35280734,55916546.35280734,55916546.35280734,55916546.35280734,55916546.35280734,55916546.35280734,55916546.35280734
27594401.406700555,27594401.406700555,27594401.406700555,27594401.406700555,27594401.406700555,27594401.406700555,27594401.406700555,27594401.406700555,27594401.406700555,27594401.406700555
27594401.406700555,27594401.406700555,27594401.406700555,27594401.406700555,27594401.406700555,27594401.406700555,27594401.406700555,27594401.406700555,27594401.406700555,27594401.406700555
8539111.813691955,8539111.813691955,8539111.813691955,8539111.813691955,8539111.813691955,8539111.813691955,8539111.813691955,8539111.813691955,8539111.813691955,8539111.813691955
8210392.851800401,8210392.851800401,8210392.851800401,8210392.851800401,8210392.851800401,8210392.851800401,8210392.851800401,8210392.851800401,8210392.851800401,8210392.851800401
6849286.040881477,6849286.040881477,6849286.040881477,6849286.040881477,6849286.040881477,6849286.040881477,6849286.040881477,6849286.040881477,6849286.040881477,6849286.040881477
3833902.184306628,3833902.184306628,3833902.184306628,3833902.184306628,3833902.184306628,3833902.184306628,3833902.184306628,3833902.184306628,3833902.184306628,3833902.184306628
3432457.659680885,3432457.659680885,3432457.659680885,3432457.659680885,3432457.659680885,3432457.659680885,3432457.659680885,3432457.659680885,3432457.659680885,3432457.659680885
2859810.102496493,2859810.102496493,2859810.102496493,2859810.102496493,2859810.102496493,2859810.102496493,2859810.102496493,2859810.102496493,2859810.102496493,2859810.102496493
2568571.2403158746,2568571.2403158746,2568571.2403158746,2568571.2403158746,2568571.2403158746,2568571.2403158746,2568571.2403158746,2568571.2403158746,2568571.2403158746,2568571.2403158746
1381006.7559547378,1381006.7559547378,1381006.7559547378,1381006.7559547378,1381006.7559547378,1381006.7559547378,1381006.7559547378,1381006.7559547378,1381006.7559547378,1381006.7559547378
1381006.7559547378,1381006.7559547378,1381006.7559547378,1381006.7559547378,1381006.7559547378,1381006.7559547378,1381006.7559547378,1381006.7559547378,1381006.7559547378,1381006.7559547378
919864.478213173,919864.478213173,919864.478213173,919864.478213173,919864.478213173,919864.478213173,919864.478213173,919864.478213173,919864.478213173,919864.478213173
843876.2974732151,843876.2974732151,843876.2974732151,843876.2974732151,843876.2974732151,843876.2974732151,843876.2974732151,843876.2974732151,843876.2974732151,843876.2974732151
834016.0698982379,834016.0698982379,834016.0698982379,834016.0698982379,834016.0698982379,834016.0698982379,834016.0698982379,834016.0698982379,834016.0698982379,834016.0698982379
834016.0698982379,834016.0698982379,834016.0698982379,834016.0698982379,834016.0698982379,834016.0698982379,834016.0698982379,834016.0698982379,834016.0698982379,834016.0698982379
744231.5781383171,744231.5781383171,744231.5781383171,744231.5781383171,744231.5781383171,744231.5781383171,744231.5781383171,744231.5781383171,744231.5781383171,744231.5781383171
603388.2517483105,603388.2517483105,603388.2517483105,603388.2517483105,603388.2517483105,603388.2517483105,603388.2517483105,603388.2517483105,603388.2517483105,603388.2517483105
560120.4570069924,560120.4570069924,560120.4570069924,560120.4570069924,560120.4570069924,560120.4570069924,560120.4570069924,560120.4570069924,560120.4570069924,560120.4570069924
470452.26476206095,470452.26476206095,470452.26476206095,470452.26476206095,470452.26476206095,470452.26476206095,470452.26476206095,470452.26476206095,470452.26476206095,470452.26476206095
415869.07432408724,415869.07432408724,415869.07432408724,415869.07432408724,415869.07432408724,415869.07432408724,415869.07432408724,415869.07432408724,415869.07432408724,415869.07432408724
384469.47991157224,384469.47991157224,384469.47991157224,384469.47991157224,384469.47991157224,384469.47991157224,384469.47991157224,384469.47991157224,384469.47991157224,384469.47991157224
265197.00406908273,265197.00406908273,265197.00406908273,265197.00406908273,265197.00406908273,265197.00406908273,265197.00406908273,265197.00406908273,265197.00406908273,265197.00406908273
250913.43691052898,250913.43691052898,250913.43691052898,250913.43691052898,250913.43691052898,250913.43691052898,250913.43691052898,250913.43691052898,250913.43691052898,250913.43691052898
250913.43691052898,250913.43691052898,250913.43691052898,250913.43691052898,250913.43691052898,250913.43691052898,250913.43691052898,250913.43691052898,250913.43691052898,250913.43691052898
250157.87672075513,250157.87672075513,250157.87672075513,250157.87672075513,250157.87672075513,250157.87672075513,250157.87672075513,250157.87672075513,250157.87672075513,250157.87672075513
242439.48815981916,242439.48815981916,242439.48815981916,242439.48815981916,242439.48815981916,242439.48815981916,242439.48815981916,242439.48815981916,242439.48815981916,242439.48815981916
205588.68319017766,205588.68319017766,205588.68319017766,205588.68319017766,205588.68319017766,205588.68319017766,205588.68319017766,205588.68319017766,205588.68319017766,205588.68319017766
205588.68319017766,205588.68319017766,205588.68319017766,205588.68319017766,205588.68319017766,205588.68319017766,205588.68319017766,205588.68319017766,205588.68319017766,205588.68319017766
147454.36414199232,147454.36414199232,147454.36414199232,147454.36414199232,147454.36414199232,147454.36414199232,147454.36414199232,147454.36414199232,147454.36414199232,147454.36414199232
133677.00081449718,133677.00081449718,133677.00081449718,133677.00081449718,133677.00081449718,133677.00081449718,133677.00081449718,133677.00081449718,133677.00081449718,133677.00081449718
128809.11478285144,128809.11478285144,128809.11478285144,128809.11478285144,128809.11478285144,128809.11478285144,128809.11478285144,128809.11478285144,128809.11478285144,128809.11478285144
127877.06080407317,127877.06080407317,127877.06080407317,127877.06080407317,127877.06080407317,127877.06080407317,127877.06080407317,127877.06080407317,127877.06080407317,127877.06080407317
118138.96236778286,118138.96236778286,118138.96236778286,118138.96236778286,118138.96236778286,118138.96236778286,118138.96236778286,118138.96236778286,118138.96236778286,118138.96236778286
107594.57997745926,107594.57997745926,107594.57997745926,107594.57997745926,107594.57997745926,107594.57997745926,107594.57997745926,107594.57997745926,107594.57997745926,107594.57997745926
107594.57997745926,107594.57997745926,107594.57997745926,107594.57997745926,107594.57997745926,107594.57997745926,107594.57997745926,107594.57997745926,107594.57997745926,107594.57997745926
98289.55642143959,98289.55642143959,98289.55642143959,98289.55642143959,98289.55642143959,98289.55642143959,98289.55642143959,98289.55642143959,98289.55642143959,98289.55642143959
98289.55642143959,98289.55642143959,98289.55642143959,98289.55642143959,98289.55642143959,98289.55642143959,98289.55642143959,98289.55642143959,98289.55642143959,98289.55642143959
87720.01814681594,87720.01814681594,87720.01814681594,87720.01814681594,87720.01814681594,87720.01814681594,87720.01814681594,87720.01814681594,87720.01814681594,87720.01814681594
87720.01814681594,87720.01814681594,87720.01814681594,87720.01814681594,87720.01814681594,87720.01814681594,87720.01814681594,87720.01814681594,87720.01814681594,87720.01814681594
87720.01814681594,87720.01814681594,87720.01814681594,87720.01814681594,87720.01814681594,87720.01814681594,87720.01814681594,87720.01814681594,87720.01814681594,87720.01814681594
