trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
105049880630163.8,105049880630163.8,105049880630163.8,105049880630163.8,105049880630163.8,105049880630163.8,105049880630163.8,105049880630163.8,105049880630163.8,105049880630163.8
44895658775651.04,44895658775651.04,44895658775651.04,44895658775651.04,44895658775651.04,44895658775651.04,44895658775651.04,44895658775651.04,44895658775651.04,44895658775651.04
339264203677.80786,339264203677.80786,339264203677.80786,339264203677.80786,339264203677.80786,339264203677.80786,339264203677.80786,339264203677.80786,339264203677.80786,339264203677.80786
51732692339.23255,51732692339.23255,51732692339.23255,51732692339.23255,51732692339.23255,51732692339.23255,51732692339.23255,51732692339.23255,51732692339.23255,51732692339.23255
38576115536.20163,38576115536.20163,38576115536.20163,38576115536.20163,38576115536.20163,38576115536.20163,38576115536.20163,38576115536.20163,38576115536.20163,38576115536.20163
9339791997.07307,9339791997.07307,9339791997.07307,9339791997.07307,9339791997.07307,9339791997.07307,9339791997.07307,9339791997.07307,9339791997.07307,9339791997.07307
453423.2517010615,453423.2517010615,453423.2517010615,453423.2517010615,453423.2517010615,453423.2517010615,453423.2517010615,453423.2517010615,453423.2517010615,453423.2517010615
453423.2517010615,453423.2517010615,453423.2517010615,453423.2517010615,453423.2517010615,453423.2517010615,453423.2517010615,453423.2517010615,453423.2517010615,453423.2517010615
453423.2517010615,453423.2517010615,453423.2517010615,453423.2517010615,453423.2517010615,453423.2517010615,453423.2517010615,453423.2517010615,453423.2517010615,453423.2517010615
391854.8424174267,391854.8424174267,391854.8424174267,391854.8424174267,391854.8424174267,391854.8424174267,391854.8424174267,391854.8424174267,391854.8424174267,391854.8424174267
227600.77244901488,227600.77244901488,227600.77244901488,227600.77244901488,227600.77244901488,227600.77244901488,227600.77244901488,227600.77244901488,227600.77244901488,227600.77244901488
168209.99238061605,168209.99238061605,168209.99238061605,168209.99238061605,168209.99238061605,168209.99238061605,168209.99238061605,168209.99238061605,168209.99238061605,168209.99238061605
117896.41216344734,117896.41216344734,117896.41216344734,117896.41216344734,117896.41216344734,117896.41216344734,117896.41216344734,117896.41216344734,117896.41216344734,117896.41216344734
117896.41216344734,117896.41216344734,117896.41216344734,117896.41216344734,117896.41216344734,117896.41216344734,117896.41216344734,117896.41216344734,117896.41216344734,117896.41216344734
102783.90091654865,102783.90091654865,102783.90091654865,102783.90091654865,102783.90091654865,102783.90091654865,102783.90091654865,102783.90091654865,102783.90091654865,102783.90091654865
92490.35753151927,92490.35753151927,92490.35753151927,92490.35753151927,92490.35753151927,92490.35753151927,92490.35753151927,92490.35753151927,92490.35753151927,92490.35753151927
92490.35753151927,92490.35753151927,92490.35753151927,92490.35753151927,92490.35753151927,92490.35753151927,92490.35753151927,92490.35753151927,92490.35753151927,92490.35753151927
90022.5653443655,90022.5653443655,90022.5653443655,90022.5653443655,90022.5653443655,90022.5653443655,90022.5653443655,90022.5653443655,90022.5653443655,90022.5653443655
75068.33475526104,75068.33475526104,75068.33475526104,75068.33475526104,75068.33475526104,75068.33475526104,75068.33475526104,75068.33475526104,75068.33475526104,75068.33475526104
75068.33475526104,75068.33475526104,75068.33475526104,75068.33475526104,75068.33475526104,75068.33475526104,75068.33475526104,75068.33475526104,75068.33475526104,75068.33475526104
75068.33475526104,75068.33475526104,75068.33475526104,75068.33475526104,75068.33475526104,75068.33475526104,75068.33475526104,75068.33475526104,75068.33475526104,75068.33475526104
68212.66280027245,68212.66280027245,68212.66280027245,68212.66280027245,68212.66280027245,68212.66280027245,68212.66280027245,68212.66280027245,68212.66280027245,68212.66280027245
65286.795367595085,65286.795367595085,65286.795367595085,65286.795367595085,65286.795367595085,65286.795367595085,65286.795367595085,65286.795367595085,65286.795367595085,65286.795367595085
63947.8957414264,63947.8957414264,63947.8957414264,63947.8957414264,63947.8957414264,63947.8957414264,63947.8957414264,63947.8957414264,63947.8957414264,63947.8957414264
58295.303585853835,58295.303585853835,58295.303585853835,58295.303585853835,58295.303585853835,58295.303585853835,58295.303585853835,58295.303585853835,58295.303585853835,58295.303585853835
58295.303585853835,58295.303585853835,58295.303585853835,58295.303585853835,58295.303585853835,58295.303585853835,58295.303585853835,58295.303585853835,58295.303585853835,58295.303585853835
54828.06624985254,54828.06624985254,54828.06624985254,54828.06624985254,54828.06624985254,54828.06624985254,54828.06624985254,54828.06624985254,54828.06624985254,54828.06624985254
54201.287565607614,54201.287565607614,54201.287565607614,54201.287565607614,54201.287565607614,54201.287565607614,54201.287565607614,54201.287565607614,54201.287565607614,54201.287565607614
48579.981510410835,48579.981510410835,48579.981510410835,48579.981510410835,48579.981510410835,48579.981510410835,48579.981510410835,48579.981510410835,48579.981510410835,48579.981510410835
48579.981510410835,48579.981510410835,48579.981510410835,48579.981510410835,48579.981510410835,48579.981510410835,48579.981510410835,48579.981510410835,48579.981510410835,48579.981510410835
48359.61697890153,48359.61697890153,48359.61697890153,48359.61697890153,48359.61697890153,48359.61697890153,48359.61697890153,48359.61697890153,48359.61697890153,48359.61697890153
42369.990081286494,42369.990081286494,42369.990081286494,42369.990081286494,42369.990081286494,42369.990081286494,42369.990081286494,42369.990081286494,42369.990081286494,42369.990081286494
