trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
9849225.601626618,9849225.601626618,9849225.601626618,9849225.601626618,9849225.601626618,9849225.601626618,9849225.601626618,9849225.601626618,9849225.601626618,9849225.601626618
9429788.178270668,9429788.178270668,9429788.178270668,9429788.178270668,9429788.178270668,9429788.178270668,9429788.178270668,9429788.178270668,9429788.178270668,9429788.178270668
9427336.701811727,9427336.701811727,9427336.701811727,9427336.701811727,9427336.701811727,9427336.701811727,9427336.701811727,9427336.701811727,9427336.701811727,9427336.701811727
9427254.340163989,9427254.340163989,9427254.340163989,9427254.340163989,9427254.340163989,9427254.340163989,9427254.340163989,9427254.340163989,9427254.340163989,9427254.340163989
9423427.77254149,9423427.77254149,9423427.77254149,9423427.77254149,9423427.77254149,9423427.77254149,9423427.77254149,9423427.77254149,9423427.77254149,9423427.77254149
9411976.17736141,9411976.17736141,9411976.17736141,9411976.17736141,9411976.17736141,9411976.17736141,9411976.17736141,9411976.17736141,9411976.17736141,9411976.17736141
9394460.365471246,9394460.365471246,9394460.365471246,9394460.365471246,9394460.365471246,9394460.365471246,9394460.365471246,9394460.365471246,9394460.365471246,9394460.365471246
9114267.062609574,9114267.062609574,9114267.062609574,9114267.062609574,9114267.062609574,9114267.062609574,9114267.062609574,9114267.062609574,9114267.062609574,9114267.062609574
8733281.513344986,8733281.513344986,8733281.513344986,8733281.513344986,8733281.513344986,8733281.513344986,8733281.513344986,8733281.513344986,8733281.513344986,8733281.513344986
8434561.881821217,8434561.881821217,8434561.881821217,8434561.881821217,8434561.881821217,8434561.881821217,8434561.881821217,8434561.881821217,8434561.881821217,8434561.881821217
8040001.025856936,8040001.025856936,8040001.025856936,8040001.025856936,8040001.025856936,8040001.025856936,8040001.025856936,8040001.025856936,8040001.025856936,8040001.025856936
7634028.984610729,7634028.984610729,7634028.984610729,7634028.984610729,7634028.984610729,7634028.984610729,7634028.984610729,7634028.984610729,7634028.984610729,7634028.984610729
7556021.296333364,7556021.296333364,7556021.296333364,7556021.296333364,7556021.296333364,7556021.296333364,7556021.296333364,7556021.296333364,7556021.296333364,7556021.296333364
7545025.415854543,7545025.415854543,7545025.415854543,7545025.415854543,7545025.415854543,7545025.415854543,7545025.415854543,7545025.415854543,7545025.415854543,7545025.415854543
7531016.069238856,7531016.069238856,7531016.069238856,7531016.069238856,7531016.069238856,7531016.069238856,7531016.069238856,7531016.069238856,7531016.069238856,7531016.069238856
7520183.11524595,7520183.11524595,7520183.11524595,7520183.11524595,7520183.11524595,7520183.11524595,7520183.11524595,7520183.11524595,7520183.11524595,7520183.11524595
7516773.025963939,7516773.025963939,7516773.025963939,7516773.025963939,7516773.025963939,7516773.025963939,7516773.025963939,7516773.025963939,7516773.025963939,7516773.025963939
7508728.833837452,7508728.833837452,7508728.833837452,7508728.833837452,7508728.833837452,7508728.833837452,7508728.833837452,7508728.833837452,7508728.833837452,7508728.833837452
7505539.451806797,7505539.451806797,7505539.451806797,7505539.451806797,7505539.451806797,7505539.451806797,7505539.451806797,7505539.451806797,7505539.451806797,7505539.451806797
7488287.6974030975,7488287.6974030975,7488287.6974030975,7488287.6974030975,7488287.6974030975,7488287.6974030975,7488287.6974030975,7488287.6974030975,7488287.6974030975,7488287.6974030975
7479573.025223802,7479573.025223802,7479573.025223802,7479573.025223802,7479573.025223802,7479573.025223802,7479573.025223802,7479573.025223802,7479573.025223802,7479573.025223802
7457265.99373534,7457265.99373534,7457265.99373534,7457265.99373534,7457265.99373534,7457265.99373534,7457265.99373534,7457265.99373534,7457265.99373534,7457265.99373534
7400166.422614022,7400166.422614022,7400166.422614022,7400166.422614022,7400166.422614022,7400166.422614022,7400166.422614022,7400166.422614022,7400166.422614022,7400166.422614022
7391752.036465622,7391752.036465622,7391752.036465622,7391752.036465622,7391752.036465622,7391752.036465622,7391752.036465622,7391752.036465622,7391752.036465622,7391752.036465622
7386127.653493214,7386127.653493214,7386127.653493214,7386127.653493214,7386127.653493214,7386127.653493214,7386127.653493214,7386127.653493214,7386127.653493214,7386127.653493214
7354236.887836549,7354236.887836549,7354236.887836549,7354236.887836549,7354236.887836549,7354236.887836549,7354236.887836549,7354236.887836549,7354236.887836549,7354236.887836549
7351435.1350975605,7351435.1350975605,7351435.1350975605,7351435.1350975605,7351435.1350975605,7351435.1350975605,7351435.1350975605,7351435.1350975605,7351435.1350975605,7351435.1350975605
7341172.533738991,7341172.533738991,7341172.533738991,7341172.533738991,7341172.533738991,7341172.533738991,7341172.533738991,7341172.533738991,7341172.533738991,7341172.533738991
7330964.2269829195,7330964.2269829195,7330964.2269829195,7330964.2269829195,7330964.2269829195,7330964.2269829195,7330964.2269829195,7330964.2269829195,7330964.2269829195,7330964.2269829195
7316115.1624292685,7316115.1624292685,7316115.1624292685,7316115.1624292685,7316115.1624292685,7316115.1624292685,7316115.1624292685,7316115.1624292685,7316115.1624292685,7316115.1624292685
7301831.048986151,7301831.048986151,7301831.048986151,7301831.048986151,7301831.048986151,7301831.048986151,7301831.048986151,7301831.048986151,7301831.048986151,7301831.048986151
7295037.643123243,7295037.643123243,7295037.643123243,7295037.643123243,7295037.643123243,7295037.643123243,7295037.643123243,7295037.643123243,7295037.643123243,7295037.643123243
7285355.784590204,7285355.784590204,7285355.784590204,7285355.784590204,7285355.784590204,7285355.784590204,7285355.784590204,7285355.784590204,7285355.784590204,7285355.784590204
7281924.32954003,7281924.32954003,7281924.32954003,7281924.32954003,7281924.32954003,7281924.32954003,7281924.32954003,7281924.32954003,7281924.32954003,7281924.32954003
