trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
25823055944.057476,25823055944.057476,25823055944.057476,25823055944.057476,25823055944.057476,25823055944.057476,25823055944.057476,25823055944.057476,25823055944.057476,25823055944.057476
12056781092.342527,12056781092.342527,12056781092.342527,12056781092.342527,12056781092.342527,12056781092.342527,12056781092.342527,12056781092.342527,12056781092.342527,12056781092.342527
10789059801.848959,10789059801.848959,10789059801.848959,10789059801.848959,10789059801.848959,10789059801.848959,10789059801.848959,10789059801.848959,10789059801.848959,10789059801.848959
8206487212.924413,8206487212.924413,8206487212.924413,8206487212.924413,8206487212.924413,8206487212.924413,8206487212.924413,8206487212.924413,8206487212.924413,8206487212.924413
917908032.9388438,917908032.9388438,917908032.9388438,917908032.9388438,917908032.9388438,917908032.9388438,917908032.9388438,917908032.9388438,917908032.9388438,917908032.9388438
917908032.9388438,917908032.9388438,917908032.9388438,917908032.9388438,917908032.9388438,917908032.9388438,917908032.9388438,917908032.9388438,917908032.9388438,917908032.9388438
519068296.59787256,519068296.59787256,519068296.59787256,519068296.59787256,519068296.59787256,519068296.59787256,519068296.59787256,519068296.59787256,519068296.59787256,519068296.59787256
519068296.59787256,519068296.59787256,519068296.59787256,519068296.59787256,519068296.59787256,519068296.59787256,519068296.59787256,519068296.59787256,519068296.59787256,519068296.59787256
519068296.5528889,519068296.5528889,519068296.5528889,519068296.5528889,519068296.5528889,519068296.5528889,519068296.5528889,519068296.5528889,519068296.5528889,519068296.5528889
441422520.18353087,441422520.18353087,441422520.18353087,441422520.18353087,441422520.18353087,441422520.18353087,441422520.18353087,441422520.18353087,441422520.18353087,441422520.18353087
441422520.18353087,441422520.18353087,441422520.18353087,441422520.18353087,441422520.18353087,441422520.18353087,441422520.18353087,441422520.18353087,441422520.18353087,441422520.18353087
441418198.2814749,441418198.2814749,441418198.2814749,441418198.2814749,441418198.2814749,441418198.2814749,441418198.2814749,441418198.2814749,441418198.2814749,441418198.2814749
400205140.51440865,400205140.51440865,400205140.51440865,400205140.51440865,400205140.51440865,400205140.51440865,400205140.51440865,400205140.51440865,400205140.51440865,400205140.51440865
400194285.16393024,400194285.16393024,400194285.16393024,400194285.16393024,400194285.16393024,400194285.16393024,400194285.16393024,400194285.16393024,400194285.16393024,400194285.16393024
337009338.48401046,337009338.48401046,337009338.48401046,337009338.48401046,337009338.48401046,337009338.48401046,337009338.48401046,337009338.48401046,337009338.48401046,337009338.48401046
325838452.05180126,325838452.05180126,325838452.05180126,325838452.05180126,325838452.05180126,325838452.05180126,325838452.05180126,325838452.05180126,325838452.05180126,325838452.05180126
280349889.80244803,280349889.80244803,280349889.80244803,280349889.80244803,280349889.80244803,280349889.80244803,280349889.80244803,280349889.80244803,280349889.80244803,280349889.80244803
280349889.80244803,280349889.80244803,280349889.80244803,280349889.80244803,280349889.80244803,280349889.80244803,280349889.80244803,280349889.80244803,280349889.80244803,280349889.80244803
280349889.80244803,280349889.80244803,280349889.80244803,280349889.80244803,280349889.80244803,280349889.80244803,280349889.80244803,280349889.80244803,280349889.80244803,280349889.80244803
