trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
5646439012.099827,5646439012.099827,5646439012.099827,5646439012.099827,5646439012.099827,5646439012.099827,5646439012.099827,5646439012.099827,5646439012.099827,5646439012.099827
2450978531.5236893,2450978531.5236893,2450978531.5236893,2450978531.5236893,2450978531.5236893,2450978531.5236893,2450978531.5236893,2450978531.5236893,2450978531.5236893,2450978531.5236893
2450978531.5236893,2450978531.5236893,2450978531.5236893,2450978531.5236893,2450978531.5236893,2450978531.5236893,2450978531.5236893,2450978531.5236893,2450978531.5236893,2450978531.5236893
2310586335.66664,2310586335.66664,2310586335.66664,2310586335.66664,2310586335.66664,2310586335.66664,2310586335.66664,2310586335.66664,2310586335.66664,2310586335.66664
717397653.9162782,717397653.9162782,717397653.9162782,717397653.9162782,717397653.9162782,717397653.9162782,717397653.9162782,717397653.9162782,717397653.9162782,717397653.9162782
689416359.8365599,689416359.8365599,689416359.8365599,689416359.8365599,689416359.8365599,689416359.8365599,689416359.8365599,689416359.8365599,689416359.8365599,689416359.8365599
291019927.0763266,291019927.0763266,291019927.0763266,291019927.0763266,291019927.0763266,291019927.0763266,291019927.0763266,291019927.0763266,291019927.0763266,291019927.0763266
110798752.41921441,110798752.41921441,110798752.41921441,110798752.41921441,110798752.41921441,110798752.41921441,110798752.41921441,110798752.41921441,110798752.41921441,110798752.41921441
64140038.97871751,64140038.97871751,64140038.97871751,64140038.97871751,64140038.97871751,64140038.97871751,64140038.97871751,64140038.97871751,64140038.97871751,64140038.97871751
64140038.97871751,64140038.97871751,64140038.97871751,64140038.97871751,64140038.97871751,64140038.97871751,64140038.97871751,64140038.97871751,64140038.97871751,64140038.97871751
54238608.320965044,54238608.320965044,54238608.320965044,54238608.320965044,54238608.320965044,54238608.320965044,54238608.320965044,54238608.320965044,54238608.320965044,54238608.320965044
54238608.320965044,54238608.320965044,54238608.320965044,54238608.320965044,54238608.320965044,54238608.320965044,54238608.320965044,54238608.320965044,54238608.320965044,54238608.320965044
41808750.43824487,41808750.43824487,41808750.43824487,41808750.43824487,41808750.43824487,41808750.43824487,41808750.43824487,41808750.43824487,41808750.43824487,41808750.43824487
31178843.983059913,31178843.983059913,31178843.983059913,31178843.983059913,31178843.983059913,31178843.983059913,31178843.983059913,31178843.983059913,31178843.983059913,31178843.983059913
20348493.917173613,20348493.917173613,20348493.917173613,20348493.917173613,20348493.917173613,20348493.917173613,20348493.917173613,20348493.917173613,20348493.917173613,20348493.917173613
20348493.917173613,20348493.917173613,20348493.917173613,20348493.917173613,20348493.917173613,20348493.917173613,20348493.917173613,20348493.917173613,20348493.917173613,20348493.917173613
20348493.917173613,20348493.917173613,20348493.917173613,20348493.917173613,20348493.917173613,20348493.917173613,20348493.917173613,20348493.917173613,20348493.917173613,20348493.917173613
18767251.861876123,18767251.861876123,18767251.861876123,18767251.861876123,18767251.861876123,18767251.861876123,18767251.861876123,18767251.861876123,18767251.861876123,18767251.861876123
18767251.861876123,18767251.861876123,18767251.861876123,18767251.861876123,18767251.861876123,18767251.861876123,18767251.861876123,18767251.861876123,18767251.861876123,18767251.861876123
11834979.149373852,11834979.149373852,11834979.149373852,11834979.149373852,11834979.149373852,11834979.149373852,11834979.149373852,11834979.149373852,11834979.149373852,11834979.149373852
10274688.167158619,10274688.167158619,10274688.167158619,10274688.167158619,10274688.167158619,10274688.167158619,10274688.167158619,10274688.167158619,10274688.167158619,10274688.167158619
10274688.167158619,10274688.167158619,10274688.167158619,10274688.167158619,10274688.167158619,10274688.167158619,10274688.167158619,10274688.167158619,10274688.167158619,10274688.167158619
6861772.23167063,6861772.23167063,6861772.23167063,6861772.23167063,6861772.23167063,6861772.23167063,6861772.23167063,6861772.23167063,6861772.23167063,6861772.23167063
6861772.23167063,6861772.23167063,6861772.23167063,6861772.23167063,6861772.23167063,6861772.23167063,6861772.23167063,6861772.23167063,6861772.23167063,6861772.23167063
6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638
6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638
6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638
6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638,6718546.29500638
6046749.566682937,6046749.566682937,6046749.566682937,6046749.566682937,6046749.566682937,6046749.566682937,6046749.566682937,6046749.566682937,6046749.566682937,6046749.566682937
4468637.440264371,4468637.440264371,4468637.440264371,4468637.440264371,4468637.440264371,4468637.440264371,4468637.440264371,4468637.440264371,4468637.440264371,4468637.440264371
4468637.440264371,4468637.440264371,4468637.440264371,4468637.440264371,4468637.440264371,4468637.440264371,4468637.440264371,4468637.440264371,4468637.440264371,4468637.440264371
4468637.440264371,4468637.440264371,4468637.440264371,4468637.440264371,4468637.440264371,4468637.440264371,4468637.440264371,4468637.440264371,4468637.440264371,4468637.440264371
