trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
2807425304.4216304,2807425304.4216304,2807425304.4216304,2807425304.4216304,2807425304.4216304,2807425304.4216304,2807425304.4216304,2807425304.4216304,2807425304.4216304,2807425304.4216304
1963987831.0424376,1963987831.0424376,1963987831.0424376,1963987831.0424376,1963987831.0424376,1963987831.0424376,1963987831.0424376,1963987831.0424376,1963987831.0424376,1963987831.0424376
252414069.77395564,252414069.77395564,252414069.77395564,252414069.77395564,252414069.77395564,252414069.77395564,252414069.77395564,252414069.77395564,252414069.77395564,252414069.77395564
241746941.23966944,241746941.23966944,241746941.23966944,241746941.23966944,241746941.23966944,241746941.23966944,241746941.23966944,241746941.23966944,241746941.23966944,241746941.23966944
29321638.13356132,29321638.13356132,29321638.13356132,29321638.13356132,29321638.13356132,29321638.13356132,29321638.13356132,29321638.13356132,29321638.13356132,29321638.13356132
26200395.883139715,26200395.883139715,26200395.883139715,26200395.883139715,26200395.883139715,26200395.883139715,26200395.883139715,26200395.883139715,26200395.883139715,26200395.883139715
25127223.722515333,25127223.722515333,25127223.722515333,25127223.722515333,25127223.722515333,25127223.722515333,25127223.722515333,25127223.722515333,25127223.722515333,25127223.722515333
19899252.126557138,19899252.126557138,19899252.126557138,19899252.126557138,19899252.126557138,19899252.126557138,19899252.126557138,19899252.126557138,19899252.126557138,19899252.126557138
11954249.335036032,11954249.335036032,11954249.335036032,11954249.335036032,11954249.335036032,11954249.335036032,11954249.335036032,11954249.335036032,11954249.335036032,11954249.335036032
11215045.229741983,11215045.229741983,11215045.229741983,11215045.229741983,11215045.229741983,11215045.229741983,11215045.229741983,11215045.229741983,11215045.229741983,11215045.229741983
10325441.443195527,10325441.443195527,10325441.443195527,10325441.443195527,10325441.443195527,10325441.443195527,10325441.443195527,10325441.443195527,10325441.443195527,10325441.443195527
7717876.140617536,7717876.140617536,7717876.140617536,7717876.140617536,7717876.140617536,7717876.140617536,7717876.140617536,7717876.140617536,7717876.140617536,7717876.140617536
6828710.016446227,6828710.016446227,6828710.016446227,6828710.016446227,6828710.016446227,6828710.016446227,6828710.016446227,6828710.016446227,6828710.016446227,6828710.016446227
6467263.776358421,6467263.776358421,6467263.776358421,6467263.776358421,6467263.776358421,6467263.776358421,6467263.776358421,6467263.776358421,6467263.776358421,6467263.776358421
3339609.017122161,3339609.017122161,3339609.017122161,3339609.017122161,3339609.017122161,3339609.017122161,3339609.017122161,3339609.017122161,3339609.017122161,3339609.017122161
3016722.868898058,3016722.868898058,3016722.868898058,3016722.868898058,3016722.868898058,3016722.868898058,3016722.868898058,3016722.868898058,3016722.868898058,3016722.868898058
2756466.0970171164,2756466.0970171164,2756466.0970171164,2756466.0970171164,2756466.0970171164,2756466.0970171164,2756466.0970171164,2756466.0970171164,2756466.0970171164,2756466.0970171164
2486541.7483806806,2486541.7483806806,2486541.7483806806,2486541.7483806806,2486541.7483806806,2486541.7483806806,2486541.7483806806,2486541.7483806806,2486541.7483806806,2486541.7483806806
2444323.5412088824,2444323.5412088824,2444323.5412088824,2444323.5412088824,2444323.5412088824,2444323.5412088824,2444323.5412088824,2444323.5412088824,2444323.5412088824,2444323.5412088824
306752.0611850976,306752.0611850976,306752.0611850976,306752.0611850976,306752.0611850976,306752.0611850976,306752.0611850976,306752.0611850976,306752.0611850976,306752.0611850976
304818.6409738719,304818.6409738719,304818.6409738719,304818.6409738719,304818.6409738719,304818.6409738719,304818.6409738719,304818.6409738719,304818.6409738719,304818.6409738719
304785.9270413485,304785.9270413485,304785.9270413485,304785.9270413485,304785.9270413485,304785.9270413485,304785.9270413485,304785.9270413485,304785.9270413485,304785.9270413485
303702.6304932932,303702.6304932932,303702.6304932932,303702.6304932932,303702.6304932932,303702.6304932932,303702.6304932932,303702.6304932932,303702.6304932932,303702.6304932932
269640.43244762614,269640.43244762614,269640.43244762614,269640.43244762614,269640.43244762614,269640.43244762614,269640.43244762614,269640.43244762614,269640.43244762614,269640.43244762614
269187.19479101215,269187.19479101215,269187.19479101215,269187.19479101215,269187.19479101215,269187.19479101215,269187.19479101215,269187.19479101215,269187.19479101215,269187.19479101215
268607.78171225416,268607.78171225416,268607.78171225416,268607.78171225416,268607.78171225416,268607.78171225416,268607.78171225416,268607.78171225416,268607.78171225416,268607.78171225416
257223.8202537744,257223.8202537744,257223.8202537744,257223.8202537744,257223.8202537744,257223.8202537744,257223.8202537744,257223.8202537744,257223.8202537744,257223.8202537744
257210.1831214388,257210.1831214388,257210.1831214388,257210.1831214388,257210.1831214388,257210.1831214388,257210.1831214388,257210.1831214388,257210.1831214388,257210.1831214388
253022.86249433178,253022.86249433178,253022.86249433178,253022.86249433178,253022.86249433178,253022.86249433178,253022.86249433178,253022.86249433178,253022.86249433178,253022.86249433178
252418.29124390957,252418.29124390957,252418.29124390957,252418.29124390957,252418.29124390957,252418.29124390957,252418.29124390957,252418.29124390957,252418.29124390957,252418.29124390957
208788.31054933413,208788.31054933413,208788.31054933413,208788.31054933413,208788.31054933413,208788.31054933413,208788.31054933413,208788.31054933413,208788.31054933413,208788.31054933413
208554.8334819165,208554.8334819165,208554.8334819165,208554.8334819165,208554.8334819165,208554.8334819165,208554.8334819165,208554.8334819165,208554.8334819165,208554.8334819165
208513.83962803497,208513.83962803497,208513.83962803497,208513.83962803497,208513.83962803497,208513.83962803497,208513.83962803497,208513.83962803497,208513.83962803497,208513.83962803497
106932.90077931245,106932.90077931245,106932.90077931245,106932.90077931245,106932.90077931245,106932.90077931245,106932.90077931245,106932.90077931245,106932.90077931245,106932.90077931245
