trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
9316349183.666546,9316349183.666546,9316349183.666546,9316349183.666546,9316349183.666546,9316349183.666546,9316349183.666546,9316349183.666546,9316349183.666546,9316349183.666546
5231055805.352146,5231055805.352146,5231055805.352146,5231055805.352146,5231055805.352146,5231055805.352146,5231055805.352146,5231055805.352146,5231055805.352146,5231055805.352146
4268422242.786315,4268422242.786315,4268422242.786315,4268422242.786315,4268422242.786315,4268422242.786315,4268422242.786315,4268422242.786315,4268422242.786315,4268422242.786315
3167678726.270758,3167678726.270758,3167678726.270758,3167678726.270758,3167678726.270758,3167678726.270758,3167678726.270758,3167678726.270758,3167678726.270758,3167678726.270758
2794824379.3592944,2794824379.3592944,2794824379.3592944,2794824379.3592944,2794824379.3592944,2794824379.3592944,2794824379.3592944,2794824379.3592944,2794824379.3592944,2794824379.3592944
2646240040.201067,2646240040.201067,2646240040.201067,2646240040.201067,2646240040.201067,2646240040.201067,2646240040.201067,2646240040.201067,2646240040.201067,2646240040.201067
2416609522.021174,2416609522.021174,2416609522.021174,2416609522.021174,2416609522.021174,2416609522.021174,2416609522.021174,2416609522.021174,2416609522.021174,2416609522.021174
2272980563.297079,2272980563.297079,2272980563.297079,2272980563.297079,2272980563.297079,2272980563.297079,2272980563.297079,2272980563.297079,2272980563.297079,2272980563.297079
2247875611.1647553,2247875611.1647553,2247875611.1647553,2247875611.1647553,2247875611.1647553,2247875611.1647553,2247875611.1647553,2247875611.1647553,2247875611.1647553,2247875611.1647553
2242865426.219361,2242865426.219361,2242865426.219361,2242865426.219361,2242865426.219361,2242865426.219361,2242865426.219361,2242865426.219361,2242865426.219361,2242865426.219361
2242610659.113613,2242610659.113613,2242610659.113613,2242610659.113613,2242610659.113613,2242610659.113613,2242610659.113613,2242610659.113613,2242610659.113613,2242610659.113613
2093460208.619586,2093460208.619586,2093460208.619586,2093460208.619586,2093460208.619586,2093460208.619586,2093460208.619586,2093460208.619586,2093460208.619586,2093460208.619586
1910541052.976101,1910541052.976101,1910541052.976101,1910541052.976101,1910541052.976101,1910541052.976101,1910541052.976101,1910541052.976101,1910541052.976101,1910541052.976101
1758745042.9973054,1758745042.9973054,1758745042.9973054,1758745042.9973054,1758745042.9973054,1758745042.9973054,1758745042.9973054,1758745042.9973054,1758745042.9973054,1758745042.9973054
1731223761.4041457,1731223761.4041457,1731223761.4041457,1731223761.4041457,1731223761.4041457,1731223761.4041457,1731223761.4041457,1731223761.4041457,1731223761.4041457,1731223761.4041457
1718646472.196169,1718646472.196169,1718646472.196169,1718646472.196169,1718646472.196169,1718646472.196169,1718646472.196169,1718646472.196169,1718646472.196169,1718646472.196169
1686469328.8985496,1686469328.8985496,1686469328.8985496,1686469328.8985496,1686469328.8985496,1686469328.8985496,1686469328.8985496,1686469328.8985496,1686469328.8985496,1686469328.8985496
1684172050.7395346,1684172050.7395346,1684172050.7395346,1684172050.7395346,1684172050.7395346,1684172050.7395346,1684172050.7395346,1684172050.7395346,1684172050.7395346,1684172050.7395346
1675142279.3016891,1675142279.3016891,1675142279.3016891,1675142279.3016891,1675142279.3016891,1675142279.3016891,1675142279.3016891,1675142279.3016891,1675142279.3016891,1675142279.3016891
1671615289.9366684,1671615289.9366684,1671615289.9366684,1671615289.9366684,1671615289.9366684,1671615289.9366684,1671615289.9366684,1671615289.9366684,1671615289.9366684,1671615289.9366684
1667113462.468287,1667113462.468287,1667113462.468287,1667113462.468287,1667113462.468287,1667113462.468287,1667113462.468287,1667113462.468287,1667113462.468287,1667113462.468287
1665716076.5344841,1665716076.5344841,1665716076.5344841,1665716076.5344841,1665716076.5344841,1665716076.5344841,1665716076.5344841,1665716076.5344841,1665716076.5344841,1665716076.5344841
1664248708.125762,1664248708.125762,1664248708.125762,1664248708.125762,1664248708.125762,1664248708.125762,1664248708.125762,1664248708.125762,1664248708.125762,1664248708.125762
1659437636.1969411,1659437636.1969411,1659437636.1969411,1659437636.1969411,1659437636.1969411,1659437636.1969411,1659437636.1969411,1659437636.1969411,1659437636.1969411,1659437636.1969411
1651480202.0743306,1651480202.0743306,1651480202.0743306,1651480202.0743306,1651480202.0743306,1651480202.0743306,1651480202.0743306,1651480202.0743306,1651480202.0743306,1651480202.0743306
1650653364.3529506,1650653364.3529506,1650653364.3529506,1650653364.3529506,1650653364.3529506,1650653364.3529506,1650653364.3529506,1650653364.3529506,1650653364.3529506,1650653364.3529506
1648658616.1097512,1648658616.1097512,1648658616.1097512,1648658616.1097512,1648658616.1097512,1648658616.1097512,1648658616.1097512,1648658616.1097512,1648658616.1097512,1648658616.1097512
1647831750.43442,1647831750.43442,1647831750.43442,1647831750.43442,1647831750.43442,1647831750.43442,1647831750.43442,1647831750.43442,1647831750.43442,1647831750.43442
1647541918.8119981,1647541918.8119981,1647541918.8119981,1647541918.8119981,1647541918.8119981,1647541918.8119981,1647541918.8119981,1647541918.8119981,1647541918.8119981,1647541918.8119981
1646719992.6371248,1646719992.6371248,1646719992.6371248,1646719992.6371248,1646719992.6371248,1646719992.6371248,1646719992.6371248,1646719992.6371248,1646719992.6371248,1646719992.6371248
1646443668.4294105,1646443668.4294105,1646443668.4294105,1646443668.4294105,1646443668.4294105,1646443668.4294105,1646443668.4294105,1646443668.4294105,1646443668.4294105,1646443668.4294105
1646413320.4684207,1646413320.4684207,1646413320.4684207,1646413320.4684207,1646413320.4684207,1646413320.4684207,1646413320.4684207,1646413320.4684207,1646413320.4684207,1646413320.4684207
1463798020.4986434,1463798020.4986434,1463798020.4986434,1463798020.4986434,1463798020.4986434,1463798020.4986434,1463798020.4986434,1463798020.4986434,1463798020.4986434,1463798020.4986434
1337456156.192326,1337456156.192326,1337456156.192326,1337456156.192326,1337456156.192326,1337456156.192326,1337456156.192326,1337456156.192326,1337456156.192326,1337456156.192326
1307410324.0040479,1307410324.0040479,1307410324.0040479,1307410324.0040479,1307410324.0040479,1307410324.0040479,1307410324.0040479,1307410324.0040479,1307410324.0040479,1307410324.0040479
1305455756.3871138,1305455756.3871138,1305455756.3871138,1305455756.3871138,1305455756.3871138,1305455756.3871138,1305455756.3871138,1305455756.3871138,1305455756.3871138,1305455756.3871138
1305359120.4353044,1305359120.4353044,1305359120.4353044,1305359120.4353044,1305359120.4353044,1305359120.4353044,1305359120.4353044,1305359120.4353044,1305359120.4353044,1305359120.4353044
1292233472.9426792,1292233472.9426792,1292233472.9426792,1292233472.9426792,1292233472.9426792,1292233472.9426792,1292233472.9426792,1292233472.9426792,1292233472.9426792,1292233472.9426792
1251284098.4887877,1251284098.4887877,1251284098.4887877,1251284098.4887877,1251284098.4887877,1251284098.4887877,1251284098.4887877,1251284098.4887877,1251284098.4887877,1251284098.4887877
997498026.804482,997498026.804482,997498026.804482,997498026.804482,997498026.804482,997498026.804482,997498026.804482,997498026.804482,997498026.804482,997498026.804482
996879860.3087876,996879860.3087876,996879860.3087876,996879860.3087876,996879860.3087876,996879860.3087876,996879860.3087876,996879860.3087876,996879860.3087876,996879860.3087876
894510125.906828,894510125.906828,894510125.906828,894510125.906828,894510125.906828,894510125.906828,894510125.906828,894510125.906828,894510125.906828,894510125.906828
854657163.7406237,854657163.7406237,854657163.7406237,854657163.7406237,854657163.7406237,854657163.7406237,854657163.7406237,854657163.7406237,854657163.7406237,854657163.7406237
822043795.6251745,822043795.6251745,822043795.6251745,822043795.6251745,822043795.6251745,822043795.6251745,822043795.6251745,822043795.6251745,822043795.6251745,822043795.6251745
820620897.7629904,820620897.7629904,820620897.7629904,820620897.7629904,820620897.7629904,820620897.7629904,820620897.7629904,820620897.7629904,820620897.7629904,820620897.7629904
820377656.2321656,820377656.2321656,820377656.2321656,820377656.2321656,820377656.2321656,820377656.2321656,820377656.2321656,820377656.2321656,820377656.2321656,820377656.2321656
819738202.1495136,819738202.1495136,819738202.1495136,819738202.1495136,819738202.1495136,819738202.1495136,819738202.1495136,819738202.1495136,819738202.1495136,819738202.1495136
818161339.9014835,818161339.9014835,818161339.9014835,818161339.9014835,818161339.9014835,818161339.9014835,818161339.9014835,818161339.9014835,818161339.9014835,818161339.9014835
814798515.9344305,814798515.9344305,814798515.9344305,814798515.9344305,814798515.9344305,814798515.9344305,814798515.9344305,814798515.9344305,814798515.9344305,814798515.9344305
804959265.095171,804959265.095171,804959265.095171,804959265.095171,804959265.095171,804959265.095171,804959265.095171,804959265.095171,804959265.095171,804959265.095171
760762728.0060737,760762728.0060737,760762728.0060737,760762728.0060737,760762728.0060737,760762728.0060737,760762728.0060737,760762728.0060737,760762728.0060737,760762728.0060737
757292637.2992976,757292637.2992976,757292637.2992976,757292637.2992976,757292637.2992976,757292637.2992976,757292637.2992976,757292637.2992976,757292637.2992976,757292637.2992976
757184080.0199944,757184080.0199944,757184080.0199944,757184080.0199944,757184080.0199944,757184080.0199944,757184080.0199944,757184080.0199944,757184080.0199944,757184080.0199944
754002249.6750859,754002249.6750859,754002249.6750859,754002249.6750859,754002249.6750859,754002249.6750859,754002249.6750859,754002249.6750859,754002249.6750859,754002249.6750859
748859997.8906646,748859997.8906646,748859997.8906646,748859997.8906646,748859997.8906646,748859997.8906646,748859997.8906646,748859997.8906646,748859997.8906646,748859997.8906646
726785527.9022826,726785527.9022826,726785527.9022826,726785527.9022826,726785527.9022826,726785527.9022826,726785527.9022826,726785527.9022826,726785527.9022826,726785527.9022826
705696866.1276335,705696866.1276335,705696866.1276335,705696866.1276335,705696866.1276335,705696866.1276335,705696866.1276335,705696866.1276335,705696866.1276335,705696866.1276335
704419826.0820625,704419826.0820625,704419826.0820625,704419826.0820625,704419826.0820625,704419826.0820625,704419826.0820625,704419826.0820625,704419826.0820625,704419826.0820625
704256974.2106018,704256974.2106018,704256974.2106018,704256974.2106018,704256974.2106018,704256974.2106018,704256974.2106018,704256974.2106018,704256974.2106018,704256974.2106018
701158278.306825,701158278.306825,701158278.306825,701158278.306825,701158278.306825,701158278.306825,701158278.306825,701158278.306825,701158278.306825,701158278.306825
701116333.2332538,701116333.2332538,701116333.2332538,701116333.2332538,701116333.2332538,701116333.2332538,701116333.2332538,701116333.2332538,701116333.2332538,701116333.2332538
701061026.9252605,701061026.9252605,701061026.9252605,701061026.9252605,701061026.9252605,701061026.9252605,701061026.9252605,701061026.9252605,701061026.9252605,701061026.9252605
692984447.3043923,692984447.3043923,692984447.3043923,692984447.3043923,692984447.3043923,692984447.3043923,692984447.3043923,692984447.3043923,692984447.3043923,692984447.3043923
660410437.9083452,660410437.9083452,660410437.9083452,660410437.9083452,660410437.9083452,660410437.9083452,660410437.9083452,660410437.9083452,660410437.9083452,660410437.9083452
485130867.3875116,485130867.3875116,485130867.3875116,485130867.3875116,485130867.3875116,485130867.3875116,485130867.3875116,485130867.3875116,485130867.3875116,485130867.3875116
352162691.6268474,352162691.6268474,352162691.6268474,352162691.6268474,352162691.6268474,352162691.6268474,352162691.6268474,352162691.6268474,352162691.6268474,352162691.6268474
347370703.8618899,347370703.8618899,347370703.8618899,347370703.8618899,347370703.8618899,347370703.8618899,347370703.8618899,347370703.8618899,347370703.8618899,347370703.8618899
345493174.05877626,345493174.05877626,345493174.05877626,345493174.05877626,345493174.05877626,345493174.05877626,345493174.05877626,345493174.05877626,345493174.05877626,345493174.05877626
344482002.77307546,344482002.77307546,344482002.77307546,344482002.77307546,344482002.77307546,344482002.77307546,344482002.77307546,344482002.77307546,344482002.77307546,344482002.77307546
343980335.07947546,343980335.07947546,343980335.07947546,343980335.07947546,343980335.07947546,343980335.07947546,343980335.07947546,343980335.07947546,343980335.07947546,343980335.07947546
343416276.0005369,343416276.0005369,343416276.0005369,343416276.0005369,343416276.0005369,343416276.0005369,343416276.0005369,343416276.0005369,343416276.0005369,343416276.0005369
342338126.51222825,342338126.51222825,342338126.51222825,342338126.51222825,342338126.51222825,342338126.51222825,342338126.51222825,342338126.51222825,342338126.51222825,342338126.51222825
338704113.1161089,338704113.1161089,338704113.1161089,338704113.1161089,338704113.1161089,338704113.1161089,338704113.1161089,338704113.1161089,338704113.1161089,338704113.1161089
331960509.44855475,331960509.44855475,331960509.44855475,331960509.44855475,331960509.44855475,331960509.44855475,331960509.44855475,331960509.44855475,331960509.44855475,331960509.44855475
329023198.6649109,329023198.6649109,329023198.6649109,329023198.6649109,329023198.6649109,329023198.6649109,329023198.6649109,329023198.6649109,329023198.6649109,329023198.6649109
327455196.62333167,327455196.62333167,327455196.62333167,327455196.62333167,327455196.62333167,327455196.62333167,327455196.62333167,327455196.62333167,327455196.62333167,327455196.62333167
