trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
7123599711.7278,7123599711.7278,7123599711.7278,7123599711.7278,7123599711.7278,7123599711.7278,7123599711.7278,7123599711.7278,7123599711.7278,7123599711.7278
2480216390.0218434,2480216390.0218434,2480216390.0218434,2480216390.0218434,2480216390.0218434,2480216390.0218434,2480216390.0218434,2480216390.0218434,2480216390.0218434,2480216390.0218434
2177920386.6588564,2177920386.6588564,2177920386.6588564,2177920386.6588564,2177920386.6588564,2177920386.6588564,2177920386.6588564,2177920386.6588564,2177920386.6588564,2177920386.6588564
1362295387.2679265,1362295387.2679265,1362295387.2679265,1362295387.2679265,1362295387.2679265,1362295387.2679265,1362295387.2679265,1362295387.2679265,1362295387.2679265,1362295387.2679265
555828934.9086376,555828934.9086376,555828934.9086376,555828934.9086376,555828934.9086376,555828934.9086376,555828934.9086376,555828934.9086376,555828934.9086376,555828934.9086376
473581315.11262965,473581315.11262965,473581315.11262965,473581315.11262965,473581315.11262965,473581315.11262965,473581315.11262965,473581315.11262965,473581315.11262965,473581315.11262965
173438424.31274292,173438424.31274292,173438424.31274292,173438424.31274292,173438424.31274292,173438424.31274292,173438424.31274292,173438424.31274292,173438424.31274292,173438424.31274292
173438424.31274292,173438424.31274292,173438424.31274292,173438424.31274292,173438424.31274292,173438424.31274292,173438424.31274292,173438424.31274292,173438424.31274292,173438424.31274292
53580912.70726311,53580912.70726311,53580912.70726311,53580912.70726311,53580912.70726311,53580912.70726311,53580912.70726311,53580912.70726311,53580912.70726311,53580912.70726311
53580912.70726311,53580912.70726311,53580912.70726311,53580912.70726311,53580912.70726311,53580912.70726311,53580912.70726311,53580912.70726311,53580912.70726311,53580912.70726311
11598848.442367181,11598848.442367181,11598848.442367181,11598848.442367181,11598848.442367181,11598848.442367181,11598848.442367181,11598848.442367181,11598848.442367181,11598848.442367181
11598848.442367181,11598848.442367181,11598848.442367181,11598848.442367181,11598848.442367181,11598848.442367181,11598848.442367181,11598848.442367181,11598848.442367181,11598848.442367181
11598848.442367181,11598848.442367181,11598848.442367181,11598848.442367181,11598848.442367181,11598848.442367181,11598848.442367181,11598848.442367181,11598848.442367181,11598848.442367181
3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322
3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322
3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322
3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322
3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322
3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322
3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322,3353176.551269322
2587431.591073059,2587431.591073059,2587431.591073059,2587431.591073059,2587431.591073059,2587431.591073059,2587431.591073059,2587431.591073059,2587431.591073059,2587431.591073059
2384651.8542546425,2384651.8542546425,2384651.8542546425,2384651.8542546425,2384651.8542546425,2384651.8542546425,2384651.8542546425,2384651.8542546425,2384651.8542546425,2384651.8542546425
601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481
601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481
601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481
601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481,601837.1033753481
536377.0136465605,536377.0136465605,536377.0136465605,536377.0136465605,536377.0136465605,536377.0136465605,536377.0136465605,536377.0136465605,536377.0136465605,536377.0136465605
331951.06877687876,331951.06877687876,331951.06877687876,331951.06877687876,331951.06877687876,331951.06877687876,331951.06877687876,331951.06877687876,331951.06877687876,331951.06877687876
331951.06877687876,331951.06877687876,331951.06877687876,331951.06877687876,331951.06877687876,331951.06877687876,331951.06877687876,331951.06877687876,331951.06877687876,331951.06877687876
263109.3981389848,263109.3981389848,263109.3981389848,263109.3981389848,263109.3981389848,263109.3981389848,263109.3981389848,263109.3981389848,263109.3981389848,263109.3981389848
263109.3981389848,263109.3981389848,263109.3981389848,263109.3981389848,263109.3981389848,263109.3981389848,263109.3981389848,263109.3981389848,263109.3981389848,263109.3981389848
257520.9775354814,257520.9775354814,257520.9775354814,257520.9775354814,257520.9775354814,257520.9775354814,257520.9775354814,257520.9775354814,257520.9775354814,257520.9775354814
158677.12073638724,158677.12073638724,158677.12073638724,158677.12073638724,158677.12073638724,158677.12073638724,158677.12073638724,158677.12073638724,158677.12073638724,158677.12073638724
140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292
140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292
140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292
140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292,140724.5641306292
131542.21175691654,131542.21175691654,131542.21175691654,131542.21175691654,131542.21175691654,131542.21175691654,131542.21175691654,131542.21175691654,131542.21175691654,131542.21175691654
131542.21175691654,131542.21175691654,131542.21175691654,131542.21175691654,131542.21175691654,131542.21175691654,131542.21175691654,131542.21175691654,131542.21175691654,131542.21175691654
131542.21175691654,131542.21175691654,131542.21175691654,131542.21175691654,131542.21175691654,131542.21175691654,131542.21175691654,131542.21175691654,131542.21175691654,131542.21175691654
113958.28790387684,113958.28790387684,113958.28790387684,113958.28790387684,113958.28790387684,113958.28790387684,113958.28790387684,113958.28790387684,113958.28790387684,113958.28790387684
102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491
102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491
102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491
102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491
102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491,102076.14203347491
73356.60896542831,73356.60896542831,73356.60896542831,73356.60896542831,73356.60896542831,73356.60896542831,73356.60896542831,73356.60896542831,73356.60896542831,73356.60896542831
73356.60896542831,73356.60896542831,73356.60896542831,73356.60896542831,73356.60896542831,73356.60896542831,73356.60896542831,73356.60896542831,73356.60896542831,73356.60896542831
73356.60896542831,73356.60896542831,73356.60896542831,73356.60896542831,73356.60896542831,73356.60896542831,73356.60896542831,73356.60896542831,73356.60896542831,73356.60896542831
56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778
56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778
56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778
56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778,56574.6404823778
46951.21288768939,46951.21288768939,46951.21288768939,46951.21288768939,46951.21288768939,46951.21288768939,46951.21288768939,46951.21288768939,46951.21288768939,46951.21288768939
45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907
45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907
45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907
45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907
45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907,45910.23335731907
43844.83898945195,43844.83898945195,43844.83898945195,43844.83898945195,43844.83898945195,43844.83898945195,43844.83898945195,43844.83898945195,43844.83898945195,43844.83898945195
43844.83898945195,43844.83898945195,43844.83898945195,43844.83898945195,43844.83898945195,43844.83898945195,43844.83898945195,43844.83898945195,43844.83898945195,43844.83898945195
40966.618069413766,40966.618069413766,40966.618069413766,40966.618069413766,40966.618069413766,40966.618069413766,40966.618069413766,40966.618069413766,40966.618069413766,40966.618069413766
40966.618069413766,40966.618069413766,40966.618069413766,40966.618069413766,40966.618069413766,40966.618069413766,40966.618069413766,40966.618069413766,40966.618069413766,40966.618069413766
40966.618069413766,40966.618069413766,40966.618069413766,40966.618069413766,40966.618069413766,40966.618069413766,40966.618069413766,40966.618069413766,40966.618069413766,40966.618069413766
40430.27975786482,40430.27975786482,40430.27975786482,40430.27975786482,40430.27975786482,40430.27975786482,40430.27975786482,40430.27975786482,40430.27975786482,40430.27975786482
40037.5445630303,40037.5445630303,40037.5445630303,40037.5445630303,40037.5445630303,40037.5445630303,40037.5445630303,40037.5445630303,40037.5445630303,40037.5445630303
37172.385462602826,37172.385462602826,37172.385462602826,37172.385462602826,37172.385462602826,37172.385462602826,37172.385462602826,37172.385462602826,37172.385462602826,37172.385462602826
36647.588669555276,36647.588669555276,36647.588669555276,36647.588669555276,36647.588669555276,36647.588669555276,36647.588669555276,36647.588669555276,36647.588669555276,36647.588669555276
36272.9073553703,36272.9073553703,36272.9073553703,36272.9073553703,36272.9073553703,36272.9073553703,36272.9073553703,36272.9073553703,36272.9073553703,36272.9073553703
32277.463420306263,32277.463420306263,32277.463420306263,32277.463420306263,32277.463420306263,32277.463420306263,32277.463420306263,32277.463420306263,32277.463420306263,32277.463420306263
29623.724648269104,29623.724648269104,29623.724648269104,29623.724648269104,29623.724648269104,29623.724648269104,29623.724648269104,29623.724648269104,29623.724648269104,29623.724648269104
29623.724648269104,29623.724648269104,29623.724648269104,29623.724648269104,29623.724648269104,29623.724648269104,29623.724648269104,29623.724648269104,29623.724648269104,29623.724648269104
28017.859316795406,28017.859316795406,28017.859316795406,28017.859316795406,28017.859316795406,28017.859316795406,28017.859316795406,28017.859316795406,28017.859316795406,28017.859316795406
24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033
24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033
24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033
24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033,24935.063991715033
22353.65879999956,22353.65879999956,22353.65879999956,22353.65879999956,22353.65879999956,22353.65879999956,22353.65879999956,22353.65879999956,22353.65879999956,22353.65879999956
22353.65879999956,22353.65879999956,22353.65879999956,22353.65879999956,22353.65879999956,22353.65879999956,22353.65879999956,22353.65879999956,22353.65879999956,22353.65879999956
21983.552041332885,21983.552041332885,21983.552041332885,21983.552041332885,21983.552041332885,21983.552041332885,21983.552041332885,21983.552041332885,21983.552041332885,21983.552041332885
21983.552041332885,21983.552041332885,21983.552041332885,21983.552041332885,21983.552041332885,21983.552041332885,21983.552041332885,21983.552041332885,21983.552041332885,21983.552041332885
19646.29186194446,19646.29186194446,19646.29186194446,19646.29186194446,19646.29186194446,19646.29186194446,19646.29186194446,19646.29186194446,19646.29186194446,19646.29186194446
19646.29186194446,19646.29186194446,19646.29186194446,19646.29186194446,19646.29186194446,19646.29186194446,19646.29186194446,19646.29186194446,19646.29186194446,19646.29186194446
15319.252331529156,15319.252331529156,15319.252331529156,15319.252331529156,15319.252331529156,15319.252331529156,15319.252331529156,15319.252331529156,15319.252331529156,15319.252331529156
14640.871459723912,14640.871459723912,14640.871459723912,14640.871459723912,14640.871459723912,14640.871459723912,14640.871459723912,14640.871459723912,14640.871459723912,14640.871459723912
14640.871459723912,14640.871459723912,14640.871459723912,14640.871459723912,14640.871459723912,14640.871459723912,14640.871459723912,14640.871459723912,14640.871459723912,14640.871459723912
14628.553753359827,14628.553753359827,14628.553753359827,14628.553753359827,14628.553753359827,14628.553753359827,14628.553753359827,14628.553753359827,14628.553753359827,14628.553753359827
13010.966262696078,13010.966262696078,13010.966262696078,13010.966262696078,13010.966262696078,13010.966262696078,13010.966262696078,13010.966262696078,13010.966262696078,13010.966262696078
13010.966262696078,13010.966262696078,13010.966262696078,13010.966262696078,13010.966262696078,13010.966262696078,13010.966262696078,13010.966262696078,13010.966262696078,13010.966262696078
11792.096139881538,11792.096139881538,11792.096139881538,11792.096139881538,11792.096139881538,11792.096139881538,11792.096139881538,11792.096139881538,11792.096139881538,11792.096139881538
9452.00769399142,9452.00769399142,9452.00769399142,9452.00769399142,9452.00769399142,9452.00769399142,9452.00769399142,9452.00769399142,9452.00769399142,9452.00769399142
8275.82390691942,8275.82390691942,8275.82390691942,8275.82390691942,8275.82390691942,8275.82390691942,8275.82390691942,8275.82390691942,8275.82390691942,8275.82390691942
8275.82390691942,8275.82390691942,8275.82390691942,8275.82390691942,8275.82390691942,8275.82390691942,8275.82390691942,8275.82390691942,8275.82390691942,8275.82390691942
7472.696119981983,7472.696119981983,7472.696119981983,7472.696119981983,7472.696119981983,7472.696119981983,7472.696119981983,7472.696119981983,7472.696119981983,7472.696119981983
7472.696119981983,7472.696119981983,7472.696119981983,7472.696119981983,7472.696119981983,7472.696119981983,7472.696119981983,7472.696119981983,7472.696119981983,7472.696119981983
5827.8917378247415,5827.8917378247415,5827.8917378247415,5827.8917378247415,5827.8917378247415,5827.8917378247415,5827.8917378247415,5827.8917378247415,5827.8917378247415,5827.8917378247415
5827.8917378247415,5827.8917378247415,5827.8917378247415,5827.8917378247415,5827.8917378247415,5827.8917378247415,5827.8917378247415,5827.8917378247415,5827.8917378247415,5827.8917378247415
5827.8917378247415,5827.8917378247415,5827.8917378247415,5827.8917378247415,5827.8917378247415,5827.8917378247415,5827.8917378247415,5827.8917378247415,5827.8917378247415,5827.8917378247415
5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713
5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713
5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713
5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713,5039.794641655713
4940.351532946786,4940.351532946786,4940.351532946786,4940.351532946786,4940.351532946786,4940.351532946786,4940.351532946786,4940.351532946786,4940.351532946786,4940.351532946786
4198.928387521062,4198.928387521062,4198.928387521062,4198.928387521062,4198.928387521062,4198.928387521062,4198.928387521062,4198.928387521062,4198.928387521062,4198.928387521062
4198.928387521062,4198.928387521062,4198.928387521062,4198.928387521062,4198.928387521062,4198.928387521062,4198.928387521062,4198.928387521062,4198.928387521062,4198.928387521062
3894.623722430437,3894.623722430437,3894.623722430437,3894.623722430437,3894.623722430437,3894.623722430437,3894.623722430437,3894.623722430437,3894.623722430437,3894.623722430437
3894.623722430437,3894.623722430437,3894.623722430437,3894.623722430437,3894.623722430437,3894.623722430437,3894.623722430437,3894.623722430437,3894.623722430437,3894.623722430437
3894.623722430437,3894.623722430437,3894.623722430437,3894.623722430437,3894.623722430437,3894.623722430437,3894.623722430437,3894.623722430437,3894.623722430437,3894.623722430437
3278.026545177245,3278.026545177245,3278.026545177245,3278.026545177245,3278.026545177245,3278.026545177245,3278.026545177245,3278.026545177245,3278.026545177245,3278.026545177245
3211.9206457280616,3211.9206457280616,3211.9206457280616,3211.9206457280616,3211.9206457280616,3211.9206457280616,3211.9206457280616,3211.9206457280616,3211.9206457280616,3211.9206457280616
3121.8778930881917,3121.8778930881917,3121.8778930881917,3121.8778930881917,3121.8778930881917,3121.8778930881917,3121.8778930881917,3121.8778930881917,3121.8778930881917,3121.8778930881917
2528.1287174741146,2528.1287174741146,2528.1287174741146,2528.1287174741146,2528.1287174741146,2528.1287174741146,2528.1287174741146,2528.1287174741146,2528.1287174741146,2528.1287174741146
2216.2760269900336,2216.2760269900336,2216.2760269900336,2216.2760269900336,2216.2760269900336,2216.2760269900336,2216.2760269900336,2216.2760269900336,2216.2760269900336,2216.2760269900336
2216.2760269900336,2216.2760269900336,2216.2760269900336,2216.2760269900336,2216.2760269900336,2216.2760269900336,2216.2760269900336,2216.2760269900336,2216.2760269900336,2216.2760269900336
2045.1336070201492,2045.1336070201492,2045.1336070201492,2045.1336070201492,2045.1336070201492,2045.1336070201492,2045.1336070201492,2045.1336070201492,2045.1336070201492,2045.1336070201492
2045.1336070201492,2045.1336070201492,2045.1336070201492,2045.1336070201492,2045.1336070201492,2045.1336070201492,2045.1336070201492,2045.1336070201492,2045.1336070201492,2045.1336070201492
1802.2990909039056,1802.2990909039056,1802.2990909039056,1802.2990909039056,1802.2990909039056,1802.2990909039056,1802.2990909039056,1802.2990909039056,1802.2990909039056,1802.2990909039056
1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647
1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647
1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647
1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647,1315.016364454647
