trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
12942484373.42339,12942484373.42339,12942484373.42339,12942484373.42339,12942484373.42339,12942484373.42339,12942484373.42339,12942484373.42339,12942484373.42339,12942484373.42339
11281150753.716618,11281150753.716618,11281150753.716618,11281150753.716618,11281150753.716618,11281150753.716618,11281150753.716618,11281150753.716618,11281150753.716618,11281150753.716618
8886935085.801159,8886935085.801159,8886935085.801159,8886935085.801159,8886935085.801159,8886935085.801159,8886935085.801159,8886935085.801159,8886935085.801159,8886935085.801159
7654834236.54592,7654834236.54592,7654834236.54592,7654834236.54592,7654834236.54592,7654834236.54592,7654834236.54592,7654834236.54592,7654834236.54592,7654834236.54592
7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333
7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333
7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333
7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333
7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333,7168250637.282333
7168250391.809244,7168250391.809244,7168250391.809244,7168250391.809244,7168250391.809244,7168250391.809244,7168250391.809244,7168250391.809244,7168250391.809244,7168250391.809244
7168250391.809244,7168250391.809244,7168250391.809244,7168250391.809244,7168250391.809244,7168250391.809244,7168250391.809244,7168250391.809244,7168250391.809244,7168250391.809244
7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605
7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605
7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605
7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605,7168248519.062605
6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927
6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927
6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927
6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927
6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927,6779638396.736927
6773051701.222931,6773051701.222931,6773051701.222931,6773051701.222931,6773051701.222931,6773051701.222931,6773051701.222931,6773051701.222931,6773051701.222931,6773051701.222931
6772667301.46727,6772667301.46727,6772667301.46727,6772667301.46727,6772667301.46727,6772667301.46727,6772667301.46727,6772667301.46727,6772667301.46727,6772667301.46727
6772666591.939262,6772666591.939262,6772666591.939262,6772666591.939262,6772666591.939262,6772666591.939262,6772666591.939262,6772666591.939262,6772666591.939262,6772666591.939262
6641149689.102235,6641149689.102235,6641149689.102235,6641149689.102235,6641149689.102235,6641149689.102235,6641149689.102235,6641149689.102235,6641149689.102235,6641149689.102235
5904139148.799509,5904139148.799509,5904139148.799509,5904139148.799509,5904139148.799509,5904139148.799509,5904139148.799509,5904139148.799509,5904139148.799509,5904139148.799509
5904139148.799509,5904139148.799509,5904139148.799509,5904139148.799509,5904139148.799509,5904139148.799509,5904139148.799509,5904139148.799509,5904139148.799509,5904139148.799509
5904139148.799509,5904139148.799509,5904139148.799509,5904139148.799509,5904139148.799509,5904139148.799509,5904139148.799509,5904139148.799509,5904139148.799509,5904139148.799509
5621080980.97434,5621080980.97434,5621080980.97434,5621080980.97434,5621080980.97434,5621080980.97434,5621080980.97434,5621080980.97434,5621080980.97434,5621080980.97434
5448029926.905146,5448029926.905146,5448029926.905146,5448029926.905146,5448029926.905146,5448029926.905146,5448029926.905146,5448029926.905146,5448029926.905146,5448029926.905146
