trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
114283358531563.06,114283358531563.06,114283358531563.06,114283358531563.06,114283358531563.06,114283358531563.06,114283358531563.06,114283358531563.06,114283358531563.06,114283358531563.06
46469042250000.516,46469042250000.516,46469042250000.516,46469042250000.516,46469042250000.516,46469042250000.516,46469042250000.516,46469042250000.516,46469042250000.516,46469042250000.516
3599860295837.8887,3599860295837.8887,3599860295837.8887,3599860295837.8887,3599860295837.8887,3599860295837.8887,3599860295837.8887,3599860295837.8887,3599860295837.8887,3599860295837.8887
2713844486140.984,2713844486140.984,2713844486140.984,2713844486140.984,2713844486140.984,2713844486140.984,2713844486140.984,2713844486140.984,2713844486140.984,2713844486140.984
2655447312970.4404,2655447312970.4404,2655447312970.4404,2655447312970.4404,2655447312970.4404,2655447312970.4404,2655447312970.4404,2655447312970.4404,2655447312970.4404,2655447312970.4404
55648995401.66626,55648995401.66626,55648995401.66626,55648995401.66626,55648995401.66626,55648995401.66626,55648995401.66626,55648995401.66626,55648995401.66626,55648995401.66626
55648995401.66626,55648995401.66626,55648995401.66626,55648995401.66626,55648995401.66626,55648995401.66626,55648995401.66626,55648995401.66626,55648995401.66626,55648995401.66626
40908257146.59443,40908257146.59443,40908257146.59443,40908257146.59443,40908257146.59443,40908257146.59443,40908257146.59443,40908257146.59443,40908257146.59443,40908257146.59443
40908257146.59443,40908257146.59443,40908257146.59443,40908257146.59443,40908257146.59443,40908257146.59443,40908257146.59443,40908257146.59443,40908257146.59443,40908257146.59443
40908257146.59443,40908257146.59443,40908257146.59443,40908257146.59443,40908257146.59443,40908257146.59443,40908257146.59443,40908257146.59443,40908257146.59443,40908257146.59443
40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675
40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675
40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675
40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675,40144118091.95675
35107563936.07155,35107563936.07155,35107563936.07155,35107563936.07155,35107563936.07155,35107563936.07155,35107563936.07155,35107563936.07155,35107563936.07155,35107563936.07155
35107563936.07155,35107563936.07155,35107563936.07155,35107563936.07155,35107563936.07155,35107563936.07155,35107563936.07155,35107563936.07155,35107563936.07155,35107563936.07155
29027012077.704136,29027012077.704136,29027012077.704136,29027012077.704136,29027012077.704136,29027012077.704136,29027012077.704136,29027012077.704136,29027012077.704136,29027012077.704136
29027012077.704136,29027012077.704136,29027012077.704136,29027012077.704136,29027012077.704136,29027012077.704136,29027012077.704136,29027012077.704136,29027012077.704136,29027012077.704136
29027012077.704136,29027012077.704136,29027012077.704136,29027012077.704136,29027012077.704136,29027012077.704136,29027012077.704136,29027012077.704136,29027012077.704136,29027012077.704136
