trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
18212095954.29521,18212095954.29521,18212095954.29521,18212095954.29521,18212095954.29521,18212095954.29521,18212095954.29521,18212095954.29521,18212095954.29521,18212095954.29521
17039500944.40056,17039500944.40056,17039500944.40056,17039500944.40056,17039500944.40056,17039500944.40056,17039500944.40056,17039500944.40056,17039500944.40056,17039500944.40056
15438009097.909597,15438009097.909597,15438009097.909597,15438009097.909597,15438009097.909597,15438009097.909597,15438009097.909597,15438009097.909597,15438009097.909597,15438009097.909597
13027012721.22818,13027012721.22818,13027012721.22818,13027012721.22818,13027012721.22818,13027012721.22818,13027012721.22818,13027012721.22818,13027012721.22818,13027012721.22818
6830626627.016718,6830626627.016718,6830626627.016718,6830626627.016718,6830626627.016718,6830626627.016718,6830626627.016718,6830626627.016718,6830626627.016718,6830626627.016718
5219900352.505518,5219900352.505518,5219900352.505518,5219900352.505518,5219900352.505518,5219900352.505518,5219900352.505518,5219900352.505518,5219900352.505518,5219900352.505518
761231877.2146837,761231877.2146837,761231877.2146837,761231877.2146837,761231877.2146837,761231877.2146837,761231877.2146837,761231877.2146837,761231877.2146837,761231877.2146837
700150222.6506432,700150222.6506432,700150222.6506432,700150222.6506432,700150222.6506432,700150222.6506432,700150222.6506432,700150222.6506432,700150222.6506432,700150222.6506432
674909686.8868536,674909686.8868536,674909686.8868536,674909686.8868536,674909686.8868536,674909686.8868536,674909686.8868536,674909686.8868536,674909686.8868536,674909686.8868536
279783082.8596922,279783082.8596922,279783082.8596922,279783082.8596922,279783082.8596922,279783082.8596922,279783082.8596922,279783082.8596922,279783082.8596922,279783082.8596922
275369060.2588079,275369060.2588079,275369060.2588079,275369060.2588079,275369060.2588079,275369060.2588079,275369060.2588079,275369060.2588079,275369060.2588079,275369060.2588079
264589161.44796863,264589161.44796863,264589161.44796863,264589161.44796863,264589161.44796863,264589161.44796863,264589161.44796863,264589161.44796863,264589161.44796863,264589161.44796863
247964385.5255234,247964385.5255234,247964385.5255234,247964385.5255234,247964385.5255234,247964385.5255234,247964385.5255234,247964385.5255234,247964385.5255234,247964385.5255234
225486876.66834915,225486876.66834915,225486876.66834915,225486876.66834915,225486876.66834915,225486876.66834915,225486876.66834915,225486876.66834915,225486876.66834915,225486876.66834915
121527855.80937642,121527855.80937642,121527855.80937642,121527855.80937642,121527855.80937642,121527855.80937642,121527855.80937642,121527855.80937642,121527855.80937642,121527855.80937642
118025001.83915138,118025001.83915138,118025001.83915138,118025001.83915138,118025001.83915138,118025001.83915138,118025001.83915138,118025001.83915138,118025001.83915138,118025001.83915138
114595081.58022617,114595081.58022617,114595081.58022617,114595081.58022617,114595081.58022617,114595081.58022617,114595081.58022617,114595081.58022617,114595081.58022617,114595081.58022617
113076763.58274704,113076763.58274704,113076763.58274704,113076763.58274704,113076763.58274704,113076763.58274704,113076763.58274704,113076763.58274704,113076763.58274704,113076763.58274704
108485005.66424286,108485005.66424286,108485005.66424286,108485005.66424286,108485005.66424286,108485005.66424286,108485005.66424286,108485005.66424286,108485005.66424286,108485005.66424286
108459381.51317191,108459381.51317191,108459381.51317191,108459381.51317191,108459381.51317191,108459381.51317191,108459381.51317191,108459381.51317191,108459381.51317191,108459381.51317191
103252247.41327174,103252247.41327174,103252247.41327174,103252247.41327174,103252247.41327174,103252247.41327174,103252247.41327174,103252247.41327174,103252247.41327174,103252247.41327174
85745285.85297155,85745285.85297155,85745285.85297155,85745285.85297155,85745285.85297155,85745285.85297155,85745285.85297155,85745285.85297155,85745285.85297155,85745285.85297155
75706117.59941,75706117.59941,75706117.59941,75706117.59941,75706117.59941,75706117.59941,75706117.59941,75706117.59941,75706117.59941,75706117.59941
67781331.03012614,67781331.03012614,67781331.03012614,67781331.03012614,67781331.03012614,67781331.03012614,67781331.03012614,67781331.03012614,67781331.03012614,67781331.03012614
65985645.89226709,65985645.89226709,65985645.89226709,65985645.89226709,65985645.89226709,65985645.89226709,65985645.89226709,65985645.89226709,65985645.89226709,65985645.89226709
58824724.969857305,58824724.969857305,58824724.969857305,58824724.969857305,58824724.969857305,58824724.969857305,58824724.969857305,58824724.969857305,58824724.969857305,58824724.969857305
54866726.02351577,54866726.02351577,54866726.02351577,54866726.02351577,54866726.02351577,54866726.02351577,54866726.02351577,54866726.02351577,54866726.02351577,54866726.02351577
52162309.96429803,52162309.96429803,52162309.96429803,52162309.96429803,52162309.96429803,52162309.96429803,52162309.96429803,52162309.96429803,52162309.96429803,52162309.96429803
45808658.73301641,45808658.73301641,45808658.73301641,45808658.73301641,45808658.73301641,45808658.73301641,45808658.73301641,45808658.73301641,45808658.73301641,45808658.73301641
43130245.50686376,43130245.50686376,43130245.50686376,43130245.50686376,43130245.50686376,43130245.50686376,43130245.50686376,43130245.50686376,43130245.50686376,43130245.50686376
37549869.542714186,37549869.542714186,37549869.542714186,37549869.542714186,37549869.542714186,37549869.542714186,37549869.542714186,37549869.542714186,37549869.542714186,37549869.542714186
35851622.65532717,35851622.65532717,35851622.65532717,35851622.65532717,35851622.65532717,35851622.65532717,35851622.65532717,35851622.65532717,35851622.65532717,35851622.65532717
34313289.77873583,34313289.77873583,34313289.77873583,34313289.77873583,34313289.77873583,34313289.77873583,34313289.77873583,34313289.77873583,34313289.77873583,34313289.77873583
