trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
22592200561.20425,22592200561.20425,22592200561.20425,22592200561.20425,22592200561.20425,22592200561.20425,22592200561.20425,22592200561.20425,22592200561.20425,22592200561.20425
11972783129.230831,11972783129.230831,11972783129.230831,11972783129.230831,11972783129.230831,11972783129.230831,11972783129.230831,11972783129.230831,11972783129.230831,11972783129.230831
11263078211.48541,11263078211.48541,11263078211.48541,11263078211.48541,11263078211.48541,11263078211.48541,11263078211.48541,11263078211.48541,11263078211.48541,11263078211.48541
10080656466.232168,10080656466.232168,10080656466.232168,10080656466.232168,10080656466.232168,10080656466.232168,10080656466.232168,10080656466.232168,10080656466.232168,10080656466.232168
9841337059.511145,9841337059.511145,9841337059.511145,9841337059.511145,9841337059.511145,9841337059.511145,9841337059.511145,9841337059.511145,9841337059.511145,9841337059.511145
9752958517.377956,9752958517.377956,9752958517.377956,9752958517.377956,9752958517.377956,9752958517.377956,9752958517.377956,9752958517.377956,9752958517.377956,9752958517.377956
9346039919.153183,9346039919.153183,9346039919.153183,9346039919.153183,9346039919.153183,9346039919.153183,9346039919.153183,9346039919.153183,9346039919.153183,9346039919.153183
9295350204.540037,9295350204.540037,9295350204.540037,9295350204.540037,9295350204.540037,9295350204.540037,9295350204.540037,9295350204.540037,9295350204.540037,9295350204.540037
9276690273.018982,9276690273.018982,9276690273.018982,9276690273.018982,9276690273.018982,9276690273.018982,9276690273.018982,9276690273.018982,9276690273.018982,9276690273.018982
9221299623.329342,9221299623.329342,9221299623.329342,9221299623.329342,9221299623.329342,9221299623.329342,9221299623.329342,9221299623.329342,9221299623.329342,9221299623.329342
9206854807.430452,9206854807.430452,9206854807.430452,9206854807.430452,9206854807.430452,9206854807.430452,9206854807.430452,9206854807.430452,9206854807.430452,9206854807.430452
9163465172.741821,9163465172.741821,9163465172.741821,9163465172.741821,9163465172.741821,9163465172.741821,9163465172.741821,9163465172.741821,9163465172.741821,9163465172.741821
9127759546.03121,9127759546.03121,9127759546.03121,9127759546.03121,9127759546.03121,9127759546.03121,9127759546.03121,9127759546.03121,9127759546.03121,9127759546.03121
9102229402.166225,9102229402.166225,9102229402.166225,9102229402.166225,9102229402.166225,9102229402.166225,9102229402.166225,9102229402.166225,9102229402.166225,9102229402.166225
9035434665.552814,9035434665.552814,9035434665.552814,9035434665.552814,9035434665.552814,9035434665.552814,9035434665.552814,9035434665.552814,9035434665.552814,9035434665.552814
8906303510.798605,8906303510.798605,8906303510.798605,8906303510.798605,8906303510.798605,8906303510.798605,8906303510.798605,8906303510.798605,8906303510.798605,8906303510.798605
8889903520.770243,8889903520.770243,8889903520.770243,8889903520.770243,8889903520.770243,8889903520.770243,8889903520.770243,8889903520.770243,8889903520.770243,8889903520.770243
8857150889.98795,8857150889.98795,8857150889.98795,8857150889.98795,8857150889.98795,8857150889.98795,8857150889.98795,8857150889.98795,8857150889.98795,8857150889.98795
8828577282.325062,8828577282.325062,8828577282.325062,8828577282.325062,8828577282.325062,8828577282.325062,8828577282.325062,8828577282.325062,8828577282.325062,8828577282.325062
8813792847.832926,8813792847.832926,8813792847.832926,8813792847.832926,8813792847.832926,8813792847.832926,8813792847.832926,8813792847.832926,8813792847.832926,8813792847.832926
8757503422.158756,8757503422.158756,8757503422.158756,8757503422.158756,8757503422.158756,8757503422.158756,8757503422.158756,8757503422.158756,8757503422.158756,8757503422.158756
8525397240.84207,8525397240.84207,8525397240.84207,8525397240.84207,8525397240.84207,8525397240.84207,8525397240.84207,8525397240.84207,8525397240.84207,8525397240.84207
8431082276.358643,8431082276.358643,8431082276.358643,8431082276.358643,8431082276.358643,8431082276.358643,8431082276.358643,8431082276.358643,8431082276.358643,8431082276.358643
8309144410.703171,8309144410.703171,8309144410.703171,8309144410.703171,8309144410.703171,8309144410.703171,8309144410.703171,8309144410.703171,8309144410.703171,8309144410.703171
8281072656.801941,8281072656.801941,8281072656.801941,8281072656.801941,8281072656.801941,8281072656.801941,8281072656.801941,8281072656.801941,8281072656.801941,8281072656.801941
8245919919.388536,8245919919.388536,8245919919.388536,8245919919.388536,8245919919.388536,8245919919.388536,8245919919.388536,8245919919.388536,8245919919.388536,8245919919.388536
8236830555.810121,8236830555.810121,8236830555.810121,8236830555.810121,8236830555.810121,8236830555.810121,8236830555.810121,8236830555.810121,8236830555.810121,8236830555.810121
8210167458.863415,8210167458.863415,8210167458.863415,8210167458.863415,8210167458.863415,8210167458.863415,8210167458.863415,8210167458.863415,8210167458.863415,8210167458.863415
8119307639.739281,8119307639.739281,8119307639.739281,8119307639.739281,8119307639.739281,8119307639.739281,8119307639.739281,8119307639.739281,8119307639.739281,8119307639.739281
7936408528.714653,7936408528.714653,7936408528.714653,7936408528.714653,7936408528.714653,7936408528.714653,7936408528.714653,7936408528.714653,7936408528.714653,7936408528.714653
7895076197.348871,7895076197.348871,7895076197.348871,7895076197.348871,7895076197.348871,7895076197.348871,7895076197.348871,7895076197.348871,7895076197.348871,7895076197.348871
7880988700.066623,7880988700.066623,7880988700.066623,7880988700.066623,7880988700.066623,7880988700.066623,7880988700.066623,7880988700.066623,7880988700.066623,7880988700.066623
7750567510.392792,7750567510.392792,7750567510.392792,7750567510.392792,7750567510.392792,7750567510.392792,7750567510.392792,7750567510.392792,7750567510.392792,7750567510.392792
7615788491.60219,7615788491.60219,7615788491.60219,7615788491.60219,7615788491.60219,7615788491.60219,7615788491.60219,7615788491.60219,7615788491.60219,7615788491.60219
7573152490.291969,7573152490.291969,7573152490.291969,7573152490.291969,7573152490.291969,7573152490.291969,7573152490.291969,7573152490.291969,7573152490.291969,7573152490.291969
7155055548.232337,7155055548.232337,7155055548.232337,7155055548.232337,7155055548.232337,7155055548.232337,7155055548.232337,7155055548.232337,7155055548.232337,7155055548.232337
6877601188.643236,6877601188.643236,6877601188.643236,6877601188.643236,6877601188.643236,6877601188.643236,6877601188.643236,6877601188.643236,6877601188.643236,6877601188.643236
6838229090.139465,6838229090.139465,6838229090.139465,6838229090.139465,6838229090.139465,6838229090.139465,6838229090.139465,6838229090.139465,6838229090.139465,6838229090.139465
6727815423.345678,6727815423.345678,6727815423.345678,6727815423.345678,6727815423.345678,6727815423.345678,6727815423.345678,6727815423.345678,6727815423.345678,6727815423.345678
6701843489.6634245,6701843489.6634245,6701843489.6634245,6701843489.6634245,6701843489.6634245,6701843489.6634245,6701843489.6634245,6701843489.6634245,6701843489.6634245,6701843489.6634245
6538717498.908607,6538717498.908607,6538717498.908607,6538717498.908607,6538717498.908607,6538717498.908607,6538717498.908607,6538717498.908607,6538717498.908607,6538717498.908607
6504943775.90442,6504943775.90442,6504943775.90442,6504943775.90442,6504943775.90442,6504943775.90442,6504943775.90442,6504943775.90442,6504943775.90442,6504943775.90442
6469769223.621323,6469769223.621323,6469769223.621323,6469769223.621323,6469769223.621323,6469769223.621323,6469769223.621323,6469769223.621323,6469769223.621323,6469769223.621323
6458276649.910487,6458276649.910487,6458276649.910487,6458276649.910487,6458276649.910487,6458276649.910487,6458276649.910487,6458276649.910487,6458276649.910487,6458276649.910487
6457059750.590858,6457059750.590858,6457059750.590858,6457059750.590858,6457059750.590858,6457059750.590858,6457059750.590858,6457059750.590858,6457059750.590858,6457059750.590858
6447767066.592225,6447767066.592225,6447767066.592225,6447767066.592225,6447767066.592225,6447767066.592225,6447767066.592225,6447767066.592225,6447767066.592225,6447767066.592225
6426061495.542439,6426061495.542439,6426061495.542439,6426061495.542439,6426061495.542439,6426061495.542439,6426061495.542439,6426061495.542439,6426061495.542439,6426061495.542439
6423948165.6562195,6423948165.6562195,6423948165.6562195,6423948165.6562195,6423948165.6562195,6423948165.6562195,6423948165.6562195,6423948165.6562195,6423948165.6562195,6423948165.6562195
6416889392.32445,6416889392.32445,6416889392.32445,6416889392.32445,6416889392.32445,6416889392.32445,6416889392.32445,6416889392.32445,6416889392.32445,6416889392.32445
6405520128.842537,6405520128.842537,6405520128.842537,6405520128.842537,6405520128.842537,6405520128.842537,6405520128.842537,6405520128.842537,6405520128.842537,6405520128.842537
6397511904.744448,6397511904.744448,6397511904.744448,6397511904.744448,6397511904.744448,6397511904.744448,6397511904.744448,6397511904.744448,6397511904.744448,6397511904.744448
6393678210.705416,6393678210.705416,6393678210.705416,6393678210.705416,6393678210.705416,6393678210.705416,6393678210.705416,6393678210.705416,6393678210.705416,6393678210.705416
6316234385.528296,6316234385.528296,6316234385.528296,6316234385.528296,6316234385.528296,6316234385.528296,6316234385.528296,6316234385.528296,6316234385.528296,6316234385.528296
6104282811.603057,6104282811.603057,6104282811.603057,6104282811.603057,6104282811.603057,6104282811.603057,6104282811.603057,6104282811.603057,6104282811.603057,6104282811.603057
5880794813.223257,5880794813.223257,5880794813.223257,5880794813.223257,5880794813.223257,5880794813.223257,5880794813.223257,5880794813.223257,5880794813.223257,5880794813.223257
5735201324.491446,5735201324.491446,5735201324.491446,5735201324.491446,5735201324.491446,5735201324.491446,5735201324.491446,5735201324.491446,5735201324.491446,5735201324.491446
5687685135.682322,5687685135.682322,5687685135.682322,5687685135.682322,5687685135.682322,5687685135.682322,5687685135.682322,5687685135.682322,5687685135.682322,5687685135.682322
5429296270.779898,5429296270.779898,5429296270.779898,5429296270.779898,5429296270.779898,5429296270.779898,5429296270.779898,5429296270.779898,5429296270.779898,5429296270.779898
5143025357.145916,5143025357.145916,5143025357.145916,5143025357.145916,5143025357.145916,5143025357.145916,5143025357.145916,5143025357.145916,5143025357.145916,5143025357.145916
4849343981.220005,4849343981.220005,4849343981.220005,4849343981.220005,4849343981.220005,4849343981.220005,4849343981.220005,4849343981.220005,4849343981.220005,4849343981.220005
4638045452.5854435,4638045452.5854435,4638045452.5854435,4638045452.5854435,4638045452.5854435,4638045452.5854435,4638045452.5854435,4638045452.5854435,4638045452.5854435,4638045452.5854435
4374082605.661894,4374082605.661894,4374082605.661894,4374082605.661894,4374082605.661894,4374082605.661894,4374082605.661894,4374082605.661894,4374082605.661894,4374082605.661894
3908404028.834379,3908404028.834379,3908404028.834379,3908404028.834379,3908404028.834379,3908404028.834379,3908404028.834379,3908404028.834379,3908404028.834379,3908404028.834379
3720787881.2258673,3720787881.2258673,3720787881.2258673,3720787881.2258673,3720787881.2258673,3720787881.2258673,3720787881.2258673,3720787881.2258673,3720787881.2258673,3720787881.2258673
3515351641.6210403,3515351641.6210403,3515351641.6210403,3515351641.6210403,3515351641.6210403,3515351641.6210403,3515351641.6210403,3515351641.6210403,3515351641.6210403,3515351641.6210403
3471649957.446452,3471649957.446452,3471649957.446452,3471649957.446452,3471649957.446452,3471649957.446452,3471649957.446452,3471649957.446452,3471649957.446452,3471649957.446452
3319700507.630499,3319700507.630499,3319700507.630499,3319700507.630499,3319700507.630499,3319700507.630499,3319700507.630499,3319700507.630499,3319700507.630499,3319700507.630499
3271638725.114773,3271638725.114773,3271638725.114773,3271638725.114773,3271638725.114773,3271638725.114773,3271638725.114773,3271638725.114773,3271638725.114773,3271638725.114773
