trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
16237342957.437893,16237342957.437893,16237342957.437893,16237342957.437893,16237342957.437893,16237342957.437893,16237342957.437893,16237342957.437893,16237342957.437893,16237342957.437893
9780795739.115248,9780795739.115248,9780795739.115248,9780795739.115248,9780795739.115248,9780795739.115248,9780795739.115248,9780795739.115248,9780795739.115248,9780795739.115248
9338093912.53902,9338093912.53902,9338093912.53902,9338093912.53902,9338093912.53902,9338093912.53902,9338093912.53902,9338093912.53902,9338093912.53902,9338093912.53902
5595738850.4888315,5595738850.4888315,5595738850.4888315,5595738850.4888315,5595738850.4888315,5595738850.4888315,5595738850.4888315,5595738850.4888315,5595738850.4888315,5595738850.4888315
5595738850.4888315,5595738850.4888315,5595738850.4888315,5595738850.4888315,5595738850.4888315,5595738850.4888315,5595738850.4888315,5595738850.4888315,5595738850.4888315,5595738850.4888315
4240894500.8147717,4240894500.8147717,4240894500.8147717,4240894500.8147717,4240894500.8147717,4240894500.8147717,4240894500.8147717,4240894500.8147717,4240894500.8147717,4240894500.8147717
3450913098.3534856,3450913098.3534856,3450913098.3534856,3450913098.3534856,3450913098.3534856,3450913098.3534856,3450913098.3534856,3450913098.3534856,3450913098.3534856,3450913098.3534856
2688266047.403028,2688266047.403028,2688266047.403028,2688266047.403028,2688266047.403028,2688266047.403028,2688266047.403028,2688266047.403028,2688266047.403028,2688266047.403028
2268039297.4022503,2268039297.4022503,2268039297.4022503,2268039297.4022503,2268039297.4022503,2268039297.4022503,2268039297.4022503,2268039297.4022503,2268039297.4022503,2268039297.4022503
2024782800.1670706,2024782800.1670706,2024782800.1670706,2024782800.1670706,2024782800.1670706,2024782800.1670706,2024782800.1670706,2024782800.1670706,2024782800.1670706,2024782800.1670706
1230717465.918958,1230717465.918958,1230717465.918958,1230717465.918958,1230717465.918958,1230717465.918958,1230717465.918958,1230717465.918958,1230717465.918958,1230717465.918958
1230717465.918958,1230717465.918958,1230717465.918958,1230717465.918958,1230717465.918958,1230717465.918958,1230717465.918958,1230717465.918958,1230717465.918958,1230717465.918958
976292340.0022371,976292340.0022371,976292340.0022371,976292340.0022371,976292340.0022371,976292340.0022371,976292340.0022371,976292340.0022371,976292340.0022371,976292340.0022371
976292340.0022371,976292340.0022371,976292340.0022371,976292340.0022371,976292340.0022371,976292340.0022371,976292340.0022371,976292340.0022371,976292340.0022371,976292340.0022371
521260552.1696673,521260552.1696673,521260552.1696673,521260552.1696673,521260552.1696673,521260552.1696673,521260552.1696673,521260552.1696673,521260552.1696673,521260552.1696673
373453752.31588167,373453752.31588167,373453752.31588167,373453752.31588167,373453752.31588167,373453752.31588167,373453752.31588167,373453752.31588167,373453752.31588167,373453752.31588167
373453752.31588167,373453752.31588167,373453752.31588167,373453752.31588167,373453752.31588167,373453752.31588167,373453752.31588167,373453752.31588167,373453752.31588167,373453752.31588167
328360857.7897361,328360857.7897361,328360857.7897361,328360857.7897361,328360857.7897361,328360857.7897361,328360857.7897361,328360857.7897361,328360857.7897361,328360857.7897361
294432139.6910043,294432139.6910043,294432139.6910043,294432139.6910043,294432139.6910043,294432139.6910043,294432139.6910043,294432139.6910043,294432139.6910043,294432139.6910043
277621451.5988015,277621451.5988015,277621451.5988015,277621451.5988015,277621451.5988015,277621451.5988015,277621451.5988015,277621451.5988015,277621451.5988015,277621451.5988015
119461016.12639274,119461016.12639274,119461016.12639274,119461016.12639274,119461016.12639274,119461016.12639274,119461016.12639274,119461016.12639274,119461016.12639274,119461016.12639274
111097870.38836473,111097870.38836473,111097870.38836473,111097870.38836473,111097870.38836473,111097870.38836473,111097870.38836473,111097870.38836473,111097870.38836473,111097870.38836473
77887268.80660255,77887268.80660255,77887268.80660255,77887268.80660255,77887268.80660255,77887268.80660255,77887268.80660255,77887268.80660255,77887268.80660255,77887268.80660255
74465183.41453487,74465183.41453487,74465183.41453487,74465183.41453487,74465183.41453487,74465183.41453487,74465183.41453487,74465183.41453487,74465183.41453487,74465183.41453487
66115674.381352864,66115674.381352864,66115674.381352864,66115674.381352864,66115674.381352864,66115674.381352864,66115674.381352864,66115674.381352864,66115674.381352864,66115674.381352864
