trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
567226644.4402199,567226644.4402199,567226644.4402199,567226644.4402199,567226644.4402199,567226644.4402199,567226644.4402199,567226644.4402199,567226644.4402199,567226644.4402199
491174813.66075784,491174813.66075784,491174813.66075784,491174813.66075784,491174813.66075784,491174813.66075784,491174813.66075784,491174813.66075784,491174813.66075784,491174813.66075784
360268334.26672626,360268334.26672626,360268334.26672626,360268334.26672626,360268334.26672626,360268334.26672626,360268334.26672626,360268334.26672626,360268334.26672626,360268334.26672626
306185633.85075176,306185633.85075176,306185633.85075176,306185633.85075176,306185633.85075176,306185633.85075176,306185633.85075176,306185633.85075176,306185633.85075176,306185633.85075176
240546720.3143655,240546720.3143655,240546720.3143655,240546720.3143655,240546720.3143655,240546720.3143655,240546720.3143655,240546720.3143655,240546720.3143655,240546720.3143655
210198568.93156716,210198568.93156716,210198568.93156716,210198568.93156716,210198568.93156716,210198568.93156716,210198568.93156716,210198568.93156716,210198568.93156716,210198568.93156716
169542139.7012822,169542139.7012822,169542139.7012822,169542139.7012822,169542139.7012822,169542139.7012822,169542139.7012822,169542139.7012822,169542139.7012822,169542139.7012822
145199360.22636095,145199360.22636095,145199360.22636095,145199360.22636095,145199360.22636095,145199360.22636095,145199360.22636095,145199360.22636095,145199360.22636095,145199360.22636095
111719700.02297072,111719700.02297072,111719700.02297072,111719700.02297072,111719700.02297072,111719700.02297072,111719700.02297072,111719700.02297072,111719700.02297072,111719700.02297072
86607132.83295937,86607132.83295937,86607132.83295937,86607132.83295937,86607132.83295937,86607132.83295937,86607132.83295937,86607132.83295937,86607132.83295937,86607132.83295937
66870020.99414075,66870020.99414075,66870020.99414075,66870020.99414075,66870020.99414075,66870020.99414075,66870020.99414075,66870020.99414075,66870020.99414075,66870020.99414075
60424568.36667537,60424568.36667537,60424568.36667537,60424568.36667537,60424568.36667537,60424568.36667537,60424568.36667537,60424568.36667537,60424568.36667537,60424568.36667537
53358500.83676757,53358500.83676757,53358500.83676757,53358500.83676757,53358500.83676757,53358500.83676757,53358500.83676757,53358500.83676757,53358500.83676757,53358500.83676757
40010523.55402084,40010523.55402084,40010523.55402084,40010523.55402084,40010523.55402084,40010523.55402084,40010523.55402084,40010523.55402084,40010523.55402084,40010523.55402084
30395890.102795128,30395890.102795128,30395890.102795128,30395890.102795128,30395890.102795128,30395890.102795128,30395890.102795128,30395890.102795128,30395890.102795128,30395890.102795128
27417647.873017367,27417647.873017367,27417647.873017367,27417647.873017367,27417647.873017367,27417647.873017367,27417647.873017367,27417647.873017367,27417647.873017367,27417647.873017367
24876828.817936778,24876828.817936778,24876828.817936778,24876828.817936778,24876828.817936778,24876828.817936778,24876828.817936778,24876828.817936778,24876828.817936778,24876828.817936778
23725887.874501467,23725887.874501467,23725887.874501467,23725887.874501467,23725887.874501467,23725887.874501467,23725887.874501467,23725887.874501467,23725887.874501467,23725887.874501467
20641176.37737342,20641176.37737342,20641176.37737342,20641176.37737342,20641176.37737342,20641176.37737342,20641176.37737342,20641176.37737342,20641176.37737342,20641176.37737342
20442204.676418517,20442204.676418517,20442204.676418517,20442204.676418517,20442204.676418517,20442204.676418517,20442204.676418517,20442204.676418517,20442204.676418517,20442204.676418517
20394386.31381454,20394386.31381454,20394386.31381454,20394386.31381454,20394386.31381454,20394386.31381454,20394386.31381454,20394386.31381454,20394386.31381454,20394386.31381454
20238425.534807585,20238425.534807585,20238425.534807585,20238425.534807585,20238425.534807585,20238425.534807585,20238425.534807585,20238425.534807585,20238425.534807585,20238425.534807585
19989625.25837116,19989625.25837116,19989625.25837116,19989625.25837116,19989625.25837116,19989625.25837116,19989625.25837116,19989625.25837116,19989625.25837116,19989625.25837116
19877615.147911977,19877615.147911977,19877615.147911977,19877615.147911977,19877615.147911977,19877615.147911977,19877615.147911977,19877615.147911977,19877615.147911977,19877615.147911977
19680684.476440866,19680684.476440866,19680684.476440866,19680684.476440866,19680684.476440866,19680684.476440866,19680684.476440866,19680684.476440866,19680684.476440866,19680684.476440866
19532111.403932147,19532111.403932147,19532111.403932147,19532111.403932147,19532111.403932147,19532111.403932147,19532111.403932147,19532111.403932147,19532111.403932147,19532111.403932147
19324926.011633664,19324926.011633664,19324926.011633664,19324926.011633664,19324926.011633664,19324926.011633664,19324926.011633664,19324926.011633664,19324926.011633664,19324926.011633664
18994202.81387768,18994202.81387768,18994202.81387768,18994202.81387768,18994202.81387768,18994202.81387768,18994202.81387768,18994202.81387768,18994202.81387768,18994202.81387768
18679115.277605277,18679115.277605277,18679115.277605277,18679115.277605277,18679115.277605277,18679115.277605277,18679115.277605277,18679115.277605277,18679115.277605277,18679115.277605277
