trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
94445614330.14285,94445614330.14285,94445614330.14285,94445614330.14285,94445614330.14285,94445614330.14285,94445614330.14285,94445614330.14285,94445614330.14285,94445614330.14285
87975166805.01248,87975166805.01248,87975166805.01248,87975166805.01248,87975166805.01248,87975166805.01248,87975166805.01248,87975166805.01248,87975166805.01248,87975166805.01248
76158723192.27733,76158723192.27733,76158723192.27733,76158723192.27733,76158723192.27733,76158723192.27733,76158723192.27733,76158723192.27733,76158723192.27733,76158723192.27733
68426623807.89812,68426623807.89812,68426623807.89812,68426623807.89812,68426623807.89812,68426623807.89812,68426623807.89812,68426623807.89812,68426623807.89812,68426623807.89812
64447550857.0677,64447550857.0677,64447550857.0677,64447550857.0677,64447550857.0677,64447550857.0677,64447550857.0677,64447550857.0677,64447550857.0677,64447550857.0677
61656090913.500206,61656090913.500206,61656090913.500206,61656090913.500206,61656090913.500206,61656090913.500206,61656090913.500206,61656090913.500206,61656090913.500206,61656090913.500206
60867267563.040955,60867267563.040955,60867267563.040955,60867267563.040955,60867267563.040955,60867267563.040955,60867267563.040955,60867267563.040955,60867267563.040955,60867267563.040955
58717698375.71599,58717698375.71599,58717698375.71599,58717698375.71599,58717698375.71599,58717698375.71599,58717698375.71599,58717698375.71599,58717698375.71599,58717698375.71599
57818781907.104935,57818781907.104935,57818781907.104935,57818781907.104935,57818781907.104935,57818781907.104935,57818781907.104935,57818781907.104935,57818781907.104935,57818781907.104935
50888303522.80297,50888303522.80297,50888303522.80297,50888303522.80297,50888303522.80297,50888303522.80297,50888303522.80297,50888303522.80297,50888303522.80297,50888303522.80297
50757423707.37861,50757423707.37861,50757423707.37861,50757423707.37861,50757423707.37861,50757423707.37861,50757423707.37861,50757423707.37861,50757423707.37861,50757423707.37861
49570861138.80114,49570861138.80114,49570861138.80114,49570861138.80114,49570861138.80114,49570861138.80114,49570861138.80114,49570861138.80114,49570861138.80114,49570861138.80114
48748986206.72906,48748986206.72906,48748986206.72906,48748986206.72906,48748986206.72906,48748986206.72906,48748986206.72906,48748986206.72906,48748986206.72906,48748986206.72906
48046358810.85581,48046358810.85581,48046358810.85581,48046358810.85581,48046358810.85581,48046358810.85581,48046358810.85581,48046358810.85581,48046358810.85581,48046358810.85581
46977561250.20521,46977561250.20521,46977561250.20521,46977561250.20521,46977561250.20521,46977561250.20521,46977561250.20521,46977561250.20521,46977561250.20521,46977561250.20521
46281916229.487885,46281916229.487885,46281916229.487885,46281916229.487885,46281916229.487885,46281916229.487885,46281916229.487885,46281916229.487885,46281916229.487885,46281916229.487885
45409976151.72554,45409976151.72554,45409976151.72554,45409976151.72554,45409976151.72554,45409976151.72554,45409976151.72554,45409976151.72554,45409976151.72554,45409976151.72554
45110324933.008446,45110324933.008446,45110324933.008446,45110324933.008446,45110324933.008446,45110324933.008446,45110324933.008446,45110324933.008446,45110324933.008446,45110324933.008446
44797502470.86581,44797502470.86581,44797502470.86581,44797502470.86581,44797502470.86581,44797502470.86581,44797502470.86581,44797502470.86581,44797502470.86581,44797502470.86581
44272409533.68827,44272409533.68827,44272409533.68827,44272409533.68827,44272409533.68827,44272409533.68827,44272409533.68827,44272409533.68827,44272409533.68827,44272409533.68827
42614267680.39297,42614267680.39297,42614267680.39297,42614267680.39297,42614267680.39297,42614267680.39297,42614267680.39297,42614267680.39297,42614267680.39297,42614267680.39297
42591307216.47986,42591307216.47986,42591307216.47986,42591307216.47986,42591307216.47986,42591307216.47986,42591307216.47986,42591307216.47986,42591307216.47986,42591307216.47986
42591301121.09999,42591301121.09999,42591301121.09999,42591301121.09999,42591301121.09999,42591301121.09999,42591301121.09999,42591301121.09999,42591301121.09999,42591301121.09999
42549743622.974205,42549743622.974205,42549743622.974205,42549743622.974205,42549743622.974205,42549743622.974205,42549743622.974205,42549743622.974205,42549743622.974205,42549743622.974205
42445718459.95367,42445718459.95367,42445718459.95367,42445718459.95367,42445718459.95367,42445718459.95367,42445718459.95367,42445718459.95367,42445718459.95367,42445718459.95367
42077245552.604385,42077245552.604385,42077245552.604385,42077245552.604385,42077245552.604385,42077245552.604385,42077245552.604385,42077245552.604385,42077245552.604385,42077245552.604385
41701105417.67101,41701105417.67101,41701105417.67101,41701105417.67101,41701105417.67101,41701105417.67101,41701105417.67101,41701105417.67101,41701105417.67101,41701105417.67101
41362157863.05161,41362157863.05161,41362157863.05161,41362157863.05161,41362157863.05161,41362157863.05161,41362157863.05161,41362157863.05161,41362157863.05161,41362157863.05161
41152926869.85861,41152926869.85861,41152926869.85861,41152926869.85861,41152926869.85861,41152926869.85861,41152926869.85861,41152926869.85861,41152926869.85861,41152926869.85861
40760904395.27042,40760904395.27042,40760904395.27042,40760904395.27042,40760904395.27042,40760904395.27042,40760904395.27042,40760904395.27042,40760904395.27042,40760904395.27042
40167065789.80211,40167065789.80211,40167065789.80211,40167065789.80211,40167065789.80211,40167065789.80211,40167065789.80211,40167065789.80211,40167065789.80211,40167065789.80211
39151674212.39443,39151674212.39443,39151674212.39443,39151674212.39443,39151674212.39443,39151674212.39443,39151674212.39443,39151674212.39443,39151674212.39443,39151674212.39443
39042600007.15856,39042600007.15856,39042600007.15856,39042600007.15856,39042600007.15856,39042600007.15856,39042600007.15856,39042600007.15856,39042600007.15856,39042600007.15856
38549557128.33214,38549557128.33214,38549557128.33214,38549557128.33214,38549557128.33214,38549557128.33214,38549557128.33214,38549557128.33214,38549557128.33214,38549557128.33214
37723962690.28548,37723962690.28548,37723962690.28548,37723962690.28548,37723962690.28548,37723962690.28548,37723962690.28548,37723962690.28548,37723962690.28548,37723962690.28548
